matrix,N,nnz,B,rho,seed,phase,steps,dirty_cols,always_delta_baseline_ms,always_hst_ms,router_ms,router_steady_ms,router_steady_vs_csr,router_steady_vs_oracle,breakeven_steps,oracle_ms,oracle_arm,router_vs_csr,oracle_vs_csr,router_vs_oracle,misroute_cost_if_delta_baseline,misroute_cost_if_hst,maxrelerr,churn_model,router_arm,router_switches,router_tax_ms
rajat03,7602,32653,8,0.25,18,False,400,256,0.078163,0.082912,0.105065,0.091758,0.852,0.852,,0.078163,delta_baseline,0.744,1.0,0.744,1.0,1.061,1.5443765292083486e-16,drift,hst,1,3.878
rajat03,7602,32653,8,0.25,19,False,400,256,0.078432,0.083646,0.104235,0.091216,0.86,0.86,,0.078432,delta_baseline,0.752,1.0,0.752,1.0,1.066,1.5991248545154193e-16,drift,hst,1,3.829
rajat03,7602,32653,8,0.25,20,False,400,256,0.07735,0.086561,0.108303,0.095297,0.812,0.812,,0.07735,delta_baseline,0.714,1.0,0.714,1.0,1.119,1.538921533552159e-16,drift,hst,1,3.924
rajat03,7602,32653,8,0.25,21,False,400,256,0.081969,0.087224,0.108208,0.095639,0.857,0.857,,0.081969,delta_baseline,0.758,1.0,0.758,1.0,1.064,1.5389215543573844e-16,drift,hst,1,3.889
bcsstk18,11948,149090,8,0.0,17,False,400,256,0.010165,0.027491,0.011144,0.010376,0.98,0.98,,0.010165,delta_baseline,0.912,1.0,0.912,1.0,2.705,8.625236741385534e-17,drift,delta_baseline,0,0.0
bcsstk18,11948,149090,8,0.0,18,False,400,256,0.009659,0.027425,0.011131,0.010385,0.93,0.93,,0.009659,delta_baseline,0.868,1.0,0.868,1.0,2.839,1.7955529896133775e-16,drift,delta_baseline,0,0.0
bcsstk18,11948,149090,8,0.0,19,False,400,256,0.008724,0.025388,0.010111,0.009536,0.915,0.915,,0.008724,delta_baseline,0.863,1.0,0.863,1.0,2.91,1.3804959837172369e-16,drift,delta_baseline,0,0.0
bcsstk18,11948,149090,8,0.0,20,False,400,256,0.008667,0.025622,0.009987,0.009335,0.928,0.928,,0.008667,delta_baseline,0.868,1.0,0.868,1.0,2.956,2.057824038214574e-16,drift,delta_baseline,0,0.0
bcsstk18,11948,149090,8,0.0,21,False,400,256,0.009152,0.025399,0.01046,0.009795,0.934,0.934,,0.009152,delta_baseline,0.875,1.0,0.875,1.0,2.775,3.703333649681202e-16,drift,delta_baseline,0,0.0
bcsstk18,11948,149090,8,0.002,17,False,400,256,0.248798,0.052517,0.063584,0.054495,4.566,0.964,9,0.052517,hst,3.913,4.737,0.826,4.737,1.0,8.625236741385534e-17,drift,hst,1,1.835
bcsstk18,11948,149090,8,0.002,18,False,400,256,0.229112,0.043762,0.056881,0.046127,4.967,0.949,7,0.043762,hst,4.028,5.235,0.769,5.235,1.0,1.7955529896133775e-16,drift,hst,1,1.35
bcsstk18,11948,149090,8,0.002,19,False,400,256,0.195171,0.052575,0.083235,0.060231,3.24,0.873,27,0.052575,hst,2.345,3.712,0.632,3.712,1.0,1.3804959837172369e-16,drift,hst,1,3.633
bcsstk18,11948,149090,8,0.002,20,False,400,256,0.204154,0.054201,0.091194,0.068922,2.962,0.786,66,0.054201,hst,2.239,3.767,0.594,3.767,1.0,2.057824038214574e-16,drift,hst,1,8.87
bcsstk18,11948,149090,8,0.002,21,False,400,256,0.224831,0.047577,0.055179,0.049806,4.514,0.955,3,0.047577,hst,4.075,4.726,0.862,4.726,1.0,3.703333649681202e-16,drift,hst,1,0.61
bcsstk18,11948,149090,8,0.01,17,False,400,256,0.266316,0.082484,0.119196,0.09127,2.918,0.904,27,0.082484,hst,2.234,3.229,0.692,3.229,1.0,8.625236741385534e-17,drift,hst,1,4.789
bcsstk18,11948,149090,8,0.01,18,False,400,256,0.236779,0.069839,0.106599,0.078178,3.029,0.893,29,0.069839,hst,2.221,3.39,0.655,3.39,1.0,1.7955529896133775e-16,drift,hst,1,4.57
bcsstk18,11948,149090,8,0.01,19,False,400,256,0.204108,0.080924,0.114535,0.089752,2.274,0.902,42,0.080924,hst,1.782,2.522,0.707,2.522,1.0,1.3804959837172369e-16,drift,hst,1,4.785
bcsstk18,11948,149090,8,0.01,20,False,400,256,0.221442,0.091951,0.124758,0.102118,2.168,0.9,35,0.091951,hst,1.775,2.408,0.737,2.408,1.0,2.057824038214574e-16,drift,hst,1,4.222
bcsstk18,11948,149090,8,0.01,21,False,400,256,0.233294,0.069292,0.10449,0.07827,2.981,0.885,28,0.069292,hst,2.233,3.367,0.663,3.367,1.0,3.703333649681202e-16,drift,hst,1,4.389
bcsstk18,11948,149090,8,0.05,17,False,400,256,0.283744,0.12609,0.165728,0.137591,2.062,0.916,41,0.12609,hst,1.712,2.25,0.761,2.25,1.0,8.625236741385534e-17,drift,hst,1,6.0
bcsstk18,11948,149090,8,0.05,18,False,400,256,0.271502,0.128197,0.167214,0.140012,1.939,0.916,43,0.128197,hst,1.624,2.118,0.767,2.118,1.0,1.7955529896133775e-16,drift,hst,1,5.678
bcsstk18,11948,149090,8,0.05,19,False,400,256,0.256255,0.128971,0.163257,0.138548,1.85,0.931,49,0.128971,hst,1.57,1.987,0.79,1.987,1.0,1.3804959837172369e-16,drift,hst,1,5.786
bcsstk18,11948,149090,8,0.05,20,False,400,256,0.270634,0.133351,0.170414,0.145652,1.858,0.916,48,0.133351,hst,1.588,2.029,0.783,2.029,1.0,2.057824038214574e-16,drift,hst,1,6.031
bcsstk18,11948,149090,8,0.05,21,False,400,256,0.24624,0.116403,0.151983,0.126006,1.954,0.924,44,0.116403,hst,1.62,2.115,0.766,2.115,1.0,3.703333649681202e-16,drift,hst,1,5.311
bcsstk18,11948,149090,8,0.25,17,False,400,256,0.287456,0.138893,0.179833,0.149163,1.927,0.931,48,0.138893,hst,1.598,2.07,0.772,2.07,1.0,8.625236741385534e-17,drift,hst,1,6.632
bcsstk18,11948,149090,8,0.25,18,False,400,256,0.288351,0.13781,0.178195,0.149096,1.934,0.924,44,0.13781,hst,1.618,2.092,0.773,2.092,1.0,1.7955529896133775e-16,drift,hst,1,6.069
bcsstk18,11948,149090,8,0.25,19,False,400,256,0.284686,0.14143,0.181374,0.152113,1.872,0.93,49,0.14143,hst,1.57,2.013,0.78,2.013,1.0,1.3804959837172369e-16,drift,hst,1,6.522
bcsstk18,11948,149090,8,0.25,20,False,400,256,0.281541,0.138193,0.17638,0.147588,1.908,0.936,49,0.138193,hst,1.596,2.037,0.783,2.037,1.0,2.057824038214574e-16,drift,hst,1,6.499
bcsstk18,11948,149090,8,0.25,21,False,400,256,0.274193,0.138234,0.176648,0.148758,1.843,0.929,49,0.138234,hst,1.552,1.984,0.783,1.984,1.0,3.703333649681202e-16,drift,hst,1,6.122
bcsstk25,15439,252241,8,0.0,17,False,400,256,0.011637,0.0286,0.012931,0.012145,0.958,0.958,,0.011637,delta_baseline,0.9,1.0,0.9,1.0,2.458,1.4310126622262146e-16,drift,delta_baseline,0,0.0
bcsstk25,15439,252241,8,0.0,18,False,400,256,0.011272,0.026694,0.012603,0.011828,0.953,0.953,,0.011272,delta_baseline,0.894,1.0,0.894,1.0,2.368,2.218697631478781e-16,drift,delta_baseline,0,0.0
bcsstk25,15439,252241,8,0.0,19,False,400,256,0.01036,0.033808,0.012063,0.01142,0.907,0.907,,0.01036,delta_baseline,0.859,1.0,0.859,1.0,3.263,9.427442670147338e-17,drift,delta_baseline,0,0.0
bcsstk25,15439,252241,8,0.0,20,False,400,256,0.011364,0.026104,0.012842,0.012024,0.945,0.945,,0.011364,delta_baseline,0.885,1.0,0.885,1.0,2.297,1.4798782495741104e-16,drift,delta_baseline,0,0.0
bcsstk25,15439,252241,8,0.0,21,False,400,256,0.010055,0.030728,0.011502,0.010799,0.931,0.931,,0.010055,delta_baseline,0.874,1.0,0.874,1.0,3.056,1.5323971434071406e-16,drift,delta_baseline,0,0.0
bcsstk25,15439,252241,8,0.002,17,False,400,256,0.269337,0.050501,0.058945,0.052789,5.102,0.957,3,0.050501,hst,4.569,5.333,0.857,5.333,1.0,1.4310126622262146e-16,drift,hst,1,0.695
bcsstk25,15439,252241,8,0.002,18,False,400,256,0.265346,0.04852,0.062512,0.051176,5.185,0.948,7,0.04852,hst,4.245,5.469,0.776,5.469,1.0,2.218697631478781e-16,drift,hst,1,1.493
bcsstk25,15439,252241,8,0.002,19,False,400,256,0.25897,0.066646,0.084375,0.07103,3.646,0.938,10,0.066646,hst,3.069,3.886,0.79,3.886,1.0,9.427442670147338e-17,drift,hst,1,1.969
bcsstk25,15439,252241,8,0.002,20,False,400,256,0.268131,0.047492,0.064658,0.050001,5.363,0.95,16,0.047492,hst,4.147,5.646,0.735,5.646,1.0,1.4798782495741104e-16,drift,hst,1,3.469
bcsstk25,15439,252241,8,0.002,21,False,400,256,0.233545,0.060608,0.094817,0.065764,3.551,0.922,28,0.060608,hst,2.463,3.853,0.639,3.853,1.0,1.5323971434071406e-16,drift,hst,1,4.73
bcsstk25,15439,252241,8,0.01,17,False,400,256,0.274325,0.073044,0.112589,0.080076,3.426,0.912,26,0.073044,hst,2.437,3.756,0.649,3.756,1.0,1.4310126622262146e-16,drift,hst,1,5.093
bcsstk25,15439,252241,8,0.01,18,False,400,256,0.279705,0.066928,0.078109,0.071556,3.909,0.935,5,0.066928,hst,3.581,4.179,0.857,4.179,1.0,2.218697631478781e-16,drift,hst,1,0.938
bcsstk25,15439,252241,8,0.01,19,False,400,256,0.259817,0.097756,0.135061,0.106719,2.435,0.916,34,0.097756,hst,1.924,2.658,0.724,2.658,1.0,9.427442670147338e-17,drift,hst,1,5.281
bcsstk25,15439,252241,8,0.01,20,False,400,256,0.269872,0.071541,0.099815,0.076697,3.519,0.933,34,0.071541,hst,2.704,3.772,0.717,3.772,1.0,1.4798782495741104e-16,drift,hst,1,6.591
bcsstk25,15439,252241,8,0.01,21,False,400,256,0.245509,0.086761,0.122984,0.095264,2.577,0.911,34,0.086761,hst,1.996,2.83,0.705,2.83,1.0,1.5323971434071406e-16,drift,hst,1,5.056
bcsstk25,15439,252241,8,0.05,17,False,400,256,0.272751,0.115889,0.155469,0.125011,2.182,0.927,40,0.115889,hst,1.754,2.354,0.745,2.354,1.0,1.4310126622262146e-16,drift,hst,1,5.93
bcsstk25,15439,252241,8,0.05,18,False,400,256,0.28309,0.117747,0.159131,0.127975,2.212,0.92,39,0.117747,hst,1.779,2.404,0.74,2.404,1.0,2.218697631478781e-16,drift,hst,1,6.101
bcsstk25,15439,252241,8,0.05,19,False,400,256,0.273631,0.128844,0.166821,0.137302,1.993,0.938,47,0.128844,hst,1.64,2.124,0.772,2.124,1.0,9.427442670147338e-17,drift,hst,1,6.388
bcsstk25,15439,252241,8,0.05,20,False,400,256,0.288432,0.118831,0.160518,0.130372,2.212,0.911,35,0.118831,hst,1.797,2.427,0.74,2.427,1.0,1.4798782495741104e-16,drift,hst,1,5.606
bcsstk25,15439,252241,8,0.05,21,False,400,256,0.267739,0.12835,0.166633,0.137946,1.941,0.93,48,0.12835,hst,1.607,2.086,0.77,2.086,1.0,1.5323971434071406e-16,drift,hst,1,6.181
bcsstk25,15439,252241,8,0.25,17,False,400,256,0.277232,0.129942,0.170721,0.139291,1.99,0.933,47,0.129942,hst,1.624,2.133,0.761,2.133,1.0,1.4310126622262146e-16,drift,hst,1,6.546
bcsstk25,15439,252241,8,0.25,18,False,400,256,0.285661,0.127544,0.169171,0.137279,2.081,0.929,43,0.127544,hst,1.689,2.24,0.754,2.24,1.0,2.218697631478781e-16,drift,hst,1,6.384
bcsstk25,15439,252241,8,0.25,19,False,400,256,0.287928,0.131483,0.171942,0.139001,2.071,0.946,46,0.131483,hst,1.675,2.19,0.765,2.19,1.0,9.427442670147338e-17,drift,hst,1,6.785
bcsstk25,15439,252241,8,0.25,20,False,400,256,0.291755,0.128586,0.171816,0.139526,2.091,0.922,43,0.128586,hst,1.698,2.269,0.748,2.269,1.0,1.4798782495741104e-16,drift,hst,1,6.532
bcsstk25,15439,252241,8,0.25,21,False,400,256,0.278985,0.134093,0.171901,0.141705,1.969,0.946,48,0.134093,hst,1.623,2.081,0.78,2.081,1.0,1.5323971434071406e-16,drift,hst,1,6.628
msc10848,10848,1229776,8,0.0,17,False,400,256,0.048383,0.084118,0.048956,0.045227,1.07,1.07,0,0.048383,delta_baseline,0.988,1.0,0.988,1.0,1.739,3.632031213502581e-16,drift,delta_baseline,0,0.0
msc10848,10848,1229776,8,0.0,18,False,400,256,0.053003,0.075306,0.054288,0.050081,1.058,1.058,0,0.053003,delta_baseline,0.976,1.0,0.976,1.0,1.421,6.160502327889403e-16,drift,delta_baseline,0,0.0
msc10848,10848,1229776,8,0.0,19,False,400,256,0.051465,0.083111,0.053228,0.049279,1.044,1.044,0,0.051465,delta_baseline,0.967,1.0,0.967,1.0,1.615,4.460432847857754e-16,drift,delta_baseline,0,0.0
msc10848,10848,1229776,8,0.0,20,False,400,256,0.051614,0.085047,0.053057,0.049028,1.053,1.053,0,0.051614,delta_baseline,0.973,1.0,0.973,1.0,1.648,3.2856469467467963e-16,drift,delta_baseline,0,0.0
msc10848,10848,1229776,8,0.0,21,False,400,256,0.048134,0.086865,0.049215,0.04531,1.062,1.062,0,0.048134,delta_baseline,0.978,1.0,0.978,1.0,1.805,5.305500907434564e-16,drift,delta_baseline,0,0.0
msc10848,10848,1229776,8,0.002,17,False,400,256,1.328699,0.129718,0.162239,0.134265,9.896,0.966,1,0.129718,hst,8.19,10.243,0.8,10.243,1.0,3.632031213502581e-16,drift,hst,1,1.33
msc10848,10848,1229776,8,0.002,18,False,400,256,1.321923,0.121351,0.155643,0.124769,10.595,0.973,1,0.121351,hst,8.493,10.893,0.78,10.893,1.0,6.160502327889403e-16,drift,hst,1,1.344
msc10848,10848,1229776,8,0.002,19,False,400,256,1.4228,0.123185,0.151531,0.125979,11.294,0.978,1,0.123185,hst,9.39,11.55,0.813,11.55,1.0,4.460432847857754e-16,drift,hst,1,1.319
msc10848,10848,1229776,8,0.002,20,False,400,256,1.361724,0.131257,0.166514,0.136248,9.994,0.963,1,0.131257,hst,8.178,10.374,0.788,10.374,1.0,3.2856469467467963e-16,drift,hst,1,1.413
msc10848,10848,1229776,8,0.002,21,False,400,256,1.302931,0.122298,0.154382,0.126143,10.329,0.97,1,0.122298,hst,8.44,10.654,0.792,10.654,1.0,5.305500907434564e-16,drift,hst,1,1.318
msc10848,10848,1229776,8,0.01,17,False,400,256,1.394725,0.146152,0.178281,0.151171,9.226,0.967,1,0.146152,hst,7.823,9.543,0.82,9.543,1.0,3.632031213502581e-16,drift,hst,1,1.344
msc10848,10848,1229776,8,0.01,18,False,400,256,1.289428,0.146467,0.18244,0.153306,8.411,0.955,1,0.146467,hst,7.068,8.804,0.803,8.804,1.0,6.160502327889403e-16,drift,hst,1,1.411
msc10848,10848,1229776,8,0.01,19,False,400,256,1.408954,0.142158,0.17826,0.148137,9.511,0.96,1,0.142158,hst,7.904,9.911,0.797,9.911,1.0,4.460432847857754e-16,drift,hst,1,1.414
msc10848,10848,1229776,8,0.01,20,False,400,256,1.31351,0.145551,0.179336,0.150563,8.724,0.967,1,0.145551,hst,7.324,9.024,0.812,9.024,1.0,3.2856469467467963e-16,drift,hst,1,1.363
msc10848,10848,1229776,8,0.01,21,False,400,256,1.252189,0.129643,0.162162,0.134351,9.32,0.965,1,0.129643,hst,7.722,9.659,0.799,9.659,1.0,5.305500907434564e-16,drift,hst,1,1.397
msc10848,10848,1229776,8,0.05,17,False,400,256,1.364424,0.184326,0.213342,0.18764,7.272,0.982,1,0.184326,hst,6.395,7.402,0.864,7.402,1.0,3.632031213502581e-16,drift,hst,1,1.497
msc10848,10848,1229776,8,0.05,18,False,400,256,1.303178,0.175219,0.20718,0.178837,7.287,0.98,1,0.175219,hst,6.29,7.437,0.846,7.437,1.0,6.160502327889403e-16,drift,hst,1,1.404
msc10848,10848,1229776,8,0.05,19,False,400,256,1.301013,0.162444,0.19521,0.164709,7.899,0.986,1,0.162444,hst,6.665,8.009,0.832,8.009,1.0,4.460432847857754e-16,drift,hst,1,1.509
msc10848,10848,1229776,8,0.05,20,False,400,256,1.328427,0.192726,0.224554,0.197467,6.727,0.976,1,0.192726,hst,5.916,6.893,0.858,6.893,1.0,3.2856469467467963e-16,drift,hst,1,1.47
msc10848,10848,1229776,8,0.05,21,False,400,256,1.295598,0.17559,0.205944,0.177519,7.298,0.989,1,0.17559,hst,6.291,7.379,0.853,7.379,1.0,5.305500907434564e-16,drift,hst,1,1.521
msc10848,10848,1229776,8,0.25,17,False,400,256,1.420756,0.191669,0.222365,0.191322,7.426,1.002,1,0.191669,hst,6.389,7.413,0.862,7.413,1.0,3.632031213502581e-16,drift,hst,1,1.567
msc10848,10848,1229776,8,0.25,18,False,400,256,1.429521,0.184038,0.218125,0.186119,7.681,0.989,1,0.184038,hst,6.554,7.768,0.844,7.768,1.0,6.160502327889403e-16,drift,hst,1,1.579
msc10848,10848,1229776,8,0.25,19,False,400,256,1.438575,0.181942,0.218135,0.18543,7.758,0.981,1,0.181942,hst,6.595,7.907,0.834,7.907,1.0,4.460432847857754e-16,drift,hst,1,1.704
msc10848,10848,1229776,8,0.25,20,False,400,256,1.491169,0.208778,0.238156,0.209186,7.128,0.998,1,0.208778,hst,6.261,7.142,0.877,7.142,1.0,3.2856469467467963e-16,drift,hst,1,1.61
msc10848,10848,1229776,8,0.25,21,False,400,256,1.461059,0.200116,0.231927,0.202604,7.211,0.988,1,0.200116,hst,6.3,7.301,0.863,7.301,1.0,5.305500907434564e-16,drift,hst,1,1.618
nasa2910,2910,174296,8,0.0,17,False,400,256,0.028726,0.046393,0.02844,0.026244,1.095,1.095,0,0.028726,delta_baseline,1.01,1.0,1.01,1.0,1.615,2.8038709295888876e-16,drift,delta_baseline,0,0.0
nasa2910,2910,174296,8,0.0,18,False,400,256,0.025737,0.038616,0.026997,0.025031,1.028,1.028,0,0.025737,delta_baseline,0.953,1.0,0.953,1.0,1.5,3.799423773445064e-16,drift,delta_baseline,0,0.0
nasa2910,2910,174296,8,0.0,19,False,400,256,0.028437,0.043645,0.029733,0.027442,1.036,1.036,0,0.028437,delta_baseline,0.956,1.0,0.956,1.0,1.535,3.9854920332226225e-16,drift,delta_baseline,0,0.0
nasa2910,2910,174296,8,0.0,20,False,400,256,0.02576,0.038305,0.027001,0.025057,1.028,1.028,0,0.02576,delta_baseline,0.954,1.0,0.954,1.0,1.487,3.799423773445064e-16,drift,delta_baseline,0,0.0
nasa2910,2910,174296,8,0.0,21,False,400,256,0.02538,0.040454,0.026502,0.024498,1.036,1.036,0,0.02538,delta_baseline,0.958,1.0,0.958,1.0,1.594,3.170894107257953e-16,drift,delta_baseline,0,0.0
nasa2910,2910,174296,8,0.002,17,False,400,256,0.868954,0.068446,0.096397,0.07057,12.313,0.97,6,0.068446,hst,9.014,12.695,0.71,12.695,1.0,2.8038709295888876e-16,drift,hst,1,4.516
nasa2910,2910,174296,8,0.002,18,False,400,256,0.852674,0.062123,0.078405,0.066585,12.806,0.933,1,0.062123,hst,10.875,13.726,0.792,13.726,1.0,3.799423773445064e-16,drift,hst,1,0.644
nasa2910,2910,174296,8,0.002,19,False,400,256,0.86515,0.060928,0.080069,0.063675,13.587,0.957,1,0.060928,hst,10.805,14.2,0.761,14.2,1.0,3.9854920332226225e-16,drift,hst,1,0.792
nasa2910,2910,174296,8,0.002,20,False,400,256,0.855424,0.055741,0.074602,0.060014,14.254,0.929,1,0.055741,hst,11.466,15.346,0.747,15.346,1.0,3.799423773445064e-16,drift,hst,1,0.706
nasa2910,2910,174296,8,0.002,21,False,400,256,0.714513,0.047319,0.088332,0.075646,9.446,0.626,15,0.047319,hst,8.089,15.1,0.536,15.1,1.0,3.170894107257953e-16,drift,hst,1,9.467
nasa2910,2910,174296,8,0.01,17,False,400,256,0.865435,0.078504,0.100176,0.08519,10.159,0.922,1,0.078504,hst,8.639,11.024,0.784,11.024,1.0,2.8038709295888876e-16,drift,hst,1,0.776
nasa2910,2910,174296,8,0.01,18,False,400,256,0.86906,0.072234,0.102951,0.080428,10.805,0.898,5,0.072234,hst,8.442,12.031,0.702,12.031,1.0,3.799423773445064e-16,drift,hst,1,4.178
nasa2910,2910,174296,8,0.01,19,False,400,256,0.771435,0.062484,0.083532,0.066376,11.622,0.941,1,0.062484,hst,9.235,12.346,0.748,12.346,1.0,3.9854920332226225e-16,drift,hst,1,0.756
nasa2910,2910,174296,8,0.01,20,False,400,256,0.913814,0.081131,0.101882,0.088796,10.291,0.914,1,0.081131,hst,8.969,11.263,0.796,11.263,1.0,3.799423773445064e-16,drift,hst,1,0.672
nasa2910,2910,174296,8,0.01,21,False,400,256,0.746969,0.050499,0.086636,0.064208,11.634,0.786,11,0.050499,hst,8.622,14.792,0.583,14.792,1.0,3.170894107257953e-16,drift,hst,1,7.51
nasa2910,2910,174296,8,0.05,17,False,400,256,0.79229,0.100865,0.121578,0.105504,7.51,0.956,1,0.100865,hst,6.517,7.855,0.83,7.855,1.0,2.8038709295888876e-16,drift,hst,1,0.856
nasa2910,2910,174296,8,0.05,18,False,400,256,0.818568,0.104734,0.122101,0.109765,7.457,0.954,1,0.104734,hst,6.704,7.816,0.858,7.816,1.0,3.799423773445064e-16,drift,hst,1,0.74
nasa2910,2910,174296,8,0.05,19,False,400,256,0.715149,0.079183,0.10458,0.088431,8.087,0.895,1,0.079183,hst,6.838,9.032,0.757,9.032,1.0,3.9854920332226225e-16,drift,hst,1,0.753
nasa2910,2910,174296,8,0.05,20,False,400,256,0.799831,0.102011,0.119948,0.107969,7.408,0.945,1,0.102011,hst,6.668,7.841,0.85,7.841,1.0,3.799423773445064e-16,drift,hst,1,0.722
nasa2910,2910,174296,8,0.05,21,False,400,256,0.752146,0.080506,0.099392,0.085159,8.832,0.945,1,0.080506,hst,7.568,9.343,0.81,9.343,1.0,3.170894107257953e-16,drift,hst,1,0.7
nasa2910,2910,174296,8,0.25,17,False,400,256,0.855466,0.111253,0.131107,0.114311,7.484,0.973,1,0.111253,hst,6.525,7.689,0.849,7.689,1.0,2.8038709295888876e-16,drift,hst,1,0.929
nasa2910,2910,174296,8,0.25,18,False,400,256,0.822367,0.103842,0.122514,0.107164,7.674,0.969,1,0.103842,hst,6.712,7.919,0.848,7.919,1.0,3.799423773445064e-16,drift,hst,1,0.803
nasa2910,2910,174296,8,0.25,19,False,400,256,0.823905,0.101173,0.121789,0.106165,7.761,0.953,1,0.101173,hst,6.765,8.144,0.831,8.144,1.0,3.9854920332226225e-16,drift,hst,1,0.882
nasa2910,2910,174296,8,0.25,20,False,400,256,0.831205,0.105354,0.1229,0.107346,7.743,0.981,1,0.105354,hst,6.763,7.89,0.857,7.89,1.0,3.799423773445064e-16,drift,hst,1,0.791
nasa2910,2910,174296,8,0.25,21,False,400,256,0.833689,0.102843,0.123764,0.108494,7.684,0.948,1,0.102843,hst,6.736,8.106,0.831,8.106,1.0,3.170894107257953e-16,drift,hst,1,0.838
s3rmt3m3,5357,207123,8,0.0,17,False,400,256,0.017587,0.029734,0.018887,0.017561,1.002,1.002,0,0.017587,delta_baseline,0.931,1.0,0.931,1.0,1.691,4.0558810500666957e-16,drift,delta_baseline,0,0.0
s3rmt3m3,5357,207123,8,0.0,18,False,400,256,0.016047,0.027675,0.017595,0.016282,0.986,0.986,,0.016047,delta_baseline,0.912,1.0,0.912,1.0,1.725,4.602754019127631e-16,drift,delta_baseline,0,0.0
s3rmt3m3,5357,207123,8,0.0,19,False,400,256,0.017721,0.027558,0.019139,0.017705,1.001,1.001,0,0.017721,delta_baseline,0.926,1.0,0.926,1.0,1.555,3.6103403035014226e-16,drift,delta_baseline,0,0.0
s3rmt3m3,5357,207123,8,0.0,20,False,400,256,0.016117,0.02785,0.01745,0.016167,0.997,0.997,,0.016117,delta_baseline,0.924,1.0,0.924,1.0,1.728,3.8491695538458903e-16,drift,delta_baseline,0,0.0
s3rmt3m3,5357,207123,8,0.0,21,False,400,256,0.016226,0.026247,0.017664,0.016409,0.989,0.989,,0.016226,delta_baseline,0.919,1.0,0.919,1.0,1.618,4.3170597187208097e-16,drift,delta_baseline,0,0.0
s3rmt3m3,5357,207123,8,0.002,17,False,400,256,0.474233,0.045705,0.057785,0.048267,9.825,0.947,1,0.045705,hst,8.207,10.376,0.791,10.376,1.0,4.0558810500666957e-16,drift,hst,1,0.583
s3rmt3m3,5357,207123,8,0.002,18,False,400,256,0.428289,0.036619,0.06274,0.051203,8.364,0.715,18,0.036619,hst,6.826,11.696,0.584,11.696,1.0,4.602754019127631e-16,drift,hst,1,6.807
s3rmt3m3,5357,207123,8,0.002,19,False,400,256,0.47828,0.041524,0.052404,0.044118,10.841,0.941,1,0.041524,hst,9.127,11.518,0.792,11.518,1.0,3.6103403035014226e-16,drift,hst,1,0.599
s3rmt3m3,5357,207123,8,0.002,20,False,400,256,0.410481,0.033458,0.061506,0.04764,8.616,0.702,19,0.033458,hst,6.674,12.269,0.544,12.269,1.0,3.8491695538458903e-16,drift,hst,1,6.795
s3rmt3m3,5357,207123,8,0.002,21,False,400,256,0.419822,0.034794,0.059707,0.046095,9.108,0.755,18,0.034794,hst,7.031,12.066,0.583,12.066,1.0,4.3170597187208097e-16,drift,hst,1,6.755
s3rmt3m3,5357,207123,8,0.01,17,False,400,256,0.480214,0.056817,0.070586,0.061487,7.81,0.924,1,0.056817,hst,6.803,8.452,0.805,8.452,1.0,4.0558810500666957e-16,drift,hst,1,0.608
s3rmt3m3,5357,207123,8,0.01,18,False,400,256,0.440587,0.041407,0.052958,0.043403,10.151,0.954,1,0.041407,hst,8.319,10.64,0.782,10.64,1.0,4.602754019127631e-16,drift,hst,1,0.582
s3rmt3m3,5357,207123,8,0.01,19,False,400,256,0.50211,0.059113,0.072519,0.064227,7.818,0.92,1,0.059113,hst,6.924,8.494,0.815,8.494,1.0,3.6103403035014226e-16,drift,hst,1,0.574
s3rmt3m3,5357,207123,8,0.01,20,False,400,256,0.433471,0.043625,0.072154,0.059003,7.347,0.739,18,0.043625,hst,6.008,9.936,0.605,9.936,1.0,3.8491695538458903e-16,drift,hst,1,6.773
s3rmt3m3,5357,207123,8,0.01,21,False,400,256,0.443297,0.04143,0.052717,0.043703,10.143,0.948,1,0.04143,hst,8.409,10.7,0.786,10.7,1.0,4.3170597187208097e-16,drift,hst,1,0.544
s3rmt3m3,5357,207123,8,0.05,17,False,400,256,0.482271,0.083948,0.10015,0.091517,5.27,0.917,2,0.083948,hst,4.816,5.745,0.838,5.745,1.0,4.0558810500666957e-16,drift,hst,1,0.672
s3rmt3m3,5357,207123,8,0.05,18,False,400,256,0.474269,0.079583,0.093109,0.086094,5.509,0.924,2,0.079583,hst,5.094,5.959,0.855,5.959,1.0,4.602754019127631e-16,drift,hst,1,0.598
s3rmt3m3,5357,207123,8,0.05,19,False,400,256,0.494112,0.08317,0.095794,0.087452,5.65,0.951,1,0.08317,hst,5.158,5.941,0.868,5.941,1.0,3.6103403035014226e-16,drift,hst,1,0.604
s3rmt3m3,5357,207123,8,0.05,20,False,400,256,0.453665,0.073841,0.086786,0.079349,5.717,0.931,2,0.073841,hst,5.227,6.144,0.851,6.144,1.0,3.8491695538458903e-16,drift,hst,1,0.572
s3rmt3m3,5357,207123,8,0.05,21,False,400,256,0.467793,0.076467,0.090106,0.083552,5.599,0.915,1,0.076467,hst,5.192,6.118,0.849,6.118,1.0,4.3170597187208097e-16,drift,hst,1,0.546
s3rmt3m3,5357,207123,8,0.25,17,False,400,256,0.481272,0.088639,0.102937,0.092998,5.175,0.953,2,0.088639,hst,4.675,5.43,0.861,5.43,1.0,4.0558810500666957e-16,drift,hst,1,0.699
