matrix,N,nnz,B,rho,seed,phase,steps,dirty_cols,always_delta_baseline_ms,always_hst_ms,router_ms,router_steady_ms,router_steady_vs_csr,router_steady_vs_oracle,breakeven_steps,oracle_ms,oracle_arm,router_vs_csr,oracle_vs_csr,router_vs_oracle,misroute_cost_if_delta_baseline,misroute_cost_if_hst,maxrelerr,churn_model,router_arm,router_switches,router_tax_ms
bcspwr09,1723,6511,8,0.002,19,False,400,256,0.072924,0.038209,0.055926,0.043387,1.681,0.881,83,0.038209,hst,1.304,1.909,0.683,1.909,1.0,1.4472386138826977e-16,drift,hst,1,2.448
bcspwr09,1723,6511,8,0.002,20,False,400,256,0.07553,0.040749,0.05861,0.04627,1.632,0.881,88,0.040749,hst,1.289,1.854,0.695,1.854,1.0,4.2716015826531054e-16,drift,hst,1,2.586
bcspwr09,1723,6511,8,0.002,21,False,400,256,0.078675,0.040944,0.060465,0.045939,1.713,0.891,87,0.040944,hst,1.301,1.922,0.677,1.922,1.0,9.609496773994548e-17,drift,hst,1,2.861
bcspwr09,1723,6511,8,0.01,17,False,400,256,0.082477,0.054792,0.074489,0.061108,1.35,0.897,142,0.054792,hst,1.107,1.505,0.736,1.505,1.0,3.3992994908668667e-16,drift,hst,1,3.043
bcspwr09,1723,6511,8,0.01,18,False,400,256,0.080501,0.053163,0.072215,0.059173,1.36,0.898,136,0.053163,hst,1.115,1.514,0.736,1.514,1.0,1.860896069197576e-16,drift,hst,1,2.908
bcspwr09,1723,6511,8,0.01,19,False,400,256,0.079609,0.052439,0.072565,0.059634,1.335,0.879,145,0.052439,hst,1.097,1.518,0.723,1.518,1.0,1.4472386138826977e-16,drift,hst,1,2.894
bcspwr09,1723,6511,8,0.01,20,False,400,256,0.079642,0.054244,0.074168,0.060756,1.311,0.893,163,0.054244,hst,1.074,1.468,0.731,1.468,1.0,4.2716015826531054e-16,drift,hst,1,3.085
bcspwr09,1723,6511,8,0.01,21,False,400,256,0.081879,0.053703,0.073471,0.059338,1.38,0.905,140,0.053703,hst,1.114,1.525,0.731,1.525,1.0,9.609496773994548e-17,drift,hst,1,3.152
bcspwr09,1723,6511,8,0.05,17,False,400,256,0.089806,0.062527,0.08303,0.06887,1.304,0.908,160,0.062527,hst,1.082,1.436,0.753,1.436,1.0,3.3992994908668667e-16,drift,hst,1,3.353
bcspwr09,1723,6511,8,0.05,18,False,400,256,0.086973,0.062425,0.083148,0.069599,1.25,0.897,191,0.062425,hst,1.046,1.393,0.751,1.393,1.0,1.860896069197576e-16,drift,hst,1,3.319
bcspwr09,1723,6511,8,0.05,19,False,400,256,0.084895,0.062089,0.081083,0.06825,1.244,0.91,189,0.062089,hst,1.047,1.367,0.766,1.367,1.0,1.4472386138826977e-16,drift,hst,1,3.147
bcspwr09,1723,6511,8,0.05,20,False,400,256,0.087759,0.063222,0.082461,0.069396,1.265,0.911,176,0.063222,hst,1.064,1.388,0.767,1.388,1.0,4.2716015826531054e-16,drift,hst,1,3.23
bcspwr09,1723,6511,8,0.05,21,False,400,256,0.088413,0.06336,0.086965,0.073443,1.204,0.863,223,0.06336,hst,1.017,1.395,0.729,1.395,1.0,9.609496773994548e-17,drift,hst,1,3.344
