matrix,N,nnz,B,rho,seed,motion,lane_order,steps,dirty_cols,slice_nnz_mean,slice_nnz_first,slice_nnz_last,rows_per_block,rows_merged,merge_ratio,maxrelerr,delta_baseline_rebuilds,block_open_prepares,block_open_compiles,block_open_merged_prepares,delta_baseline_ms,delta_baseline_exec_ms,block_open_ms,block_open_exec_ms,block_open_merged_ms,block_open_merged_exec_ms,block_open_vs_delta_baseline,block_open_merged_vs_delta_baseline,hst_vs_delta_baseline,hst_vs_block_open,block_open_merged_vs_block_open
TSOPF_RS_b39_c30,60098,1079986,8,0.25,18,drift,rotate,400,256,304833.6,305958,307008,62106,30502,2.0361,1.979365084008007e-16,403,397,31,397,14.891266,0.375422,0.537379,0.47599,26.858256,0.462593,27.7109,0.5544,24.6296,0.8888,0.02
TSOPF_RS_b39_c30,60098,1079986,8,0.25,19,drift,rotate,400,256,305693.5,305958,306282,62028,30494,2.0341,3.1758579755019686e-16,403,180,0,180,14.878463,0.385316,0.517951,0.466389,10.419785,0.45224,28.7256,1.4279,29.2903,1.0197,0.0497
TSOPF_RS_b39_c30,60098,1079986,8,0.25,20,drift,rotate,400,256,304958.0,305958,304070,62106,30502,2.0361,2.3128558815491234e-16,403,403,259,403,14.927319,0.387878,0.546683,0.481178,30.769034,0.466655,27.3053,0.4851,24.1373,0.884,0.0178
TSOPF_RS_b39_c30,60098,1079986,8,0.25,21,drift,rotate,400,138,302124.6,304406,304555,61516,30428,2.0217,2.645100820466541e-16,403,290,56,290,14.809221,0.381491,0.511725,0.457175,13.271599,0.449591,28.9398,1.1159,27.5847,0.9532,0.0386
TSOPF_RS_b39_c30,60098,1079986,8,0.0,17,jump,rotate,400,256,305958,305958,305958,62106,30502,2.0361,3.4799005362835824e-16,1,1,0,1,0.361786,0.354709,0.460845,0.444589,0.45195,0.438056,0.785,0.8005,0.8609,1.0966,1.0197
TSOPF_RS_b39_c30,60098,1079986,8,0.0,18,jump,rotate,400,256,305958,305958,305958,62106,30502,2.0361,1.9892750543703998e-16,1,1,0,1,0.361217,0.354123,0.461183,0.444952,0.452378,0.43868,0.7832,0.7985,0.8635,1.1024,1.0195
TSOPF_RS_b39_c30,60098,1079986,8,0.0,19,jump,rotate,400,256,305958,305958,305958,62028,30494,2.0341,3.372190252722962e-16,1,1,0,1,0.338567,0.33164,0.459705,0.443733,0.451411,0.437826,0.7365,0.75,0.8106,1.1006,1.0184
TSOPF_RS_b39_c30,60098,1079986,8,0.0,20,jump,rotate,400,256,305958,305958,305958,62106,30502,2.0361,3.253523553326168e-16,1,1,0,1,0.36109,0.354162,0.460605,0.444674,0.451826,0.438231,0.7839,0.7992,0.8632,1.1011,1.0194
TSOPF_RS_b39_c30,60098,1079986,8,0.0,21,jump,rotate,400,138,304406,304406,304406,61516,30428,2.0217,2.905011715811546e-16,1,1,0,1,0.356636,0.349861,0.454016,0.438339,0.446789,0.433492,0.7855,0.7982,0.8662,1.1027,1.0162
TSOPF_RS_b39_c30,60098,1079986,8,0.002,17,jump,rotate,400,256,144357.5,305958,33274,62106,30502,2.0361,3.4799005362835824e-16,403,400,268,400,7.11054,0.222166,0.593134,0.529812,57.370433,0.495567,11.9881,0.1239,10.1924,0.8502,0.0103
TSOPF_RS_b39_c30,60098,1079986,8,0.002,18,jump,rotate,400,256,111274.4,305958,62996,62106,30502,2.0361,3.0100098613357003e-16,403,401,260,401,5.492648,0.188107,0.602332,0.539355,56.407461,0.500023,9.119,0.0974,7.7107,0.8456,0.0107
TSOPF_RS_b39_c30,60098,1079986,8,0.002,19,jump,rotate,400,256,188296.2,305958,63651,62028,30494,2.0341,3.1758579755019686e-16,403,401,257,401,9.216294,0.267907,0.608306,0.540987,56.411013,0.495513,15.1508,0.1634,13.1125,0.8655,0.0108
TSOPF_RS_b39_c30,60098,1079986,8,0.002,20,jump,rotate,400,256,155647.5,305958,34081,62106,30502,2.0361,2.3128558815491234e-16,403,401,238,401,7.598598,0.232183,0.61418,0.549398,58.100122,0.498822,12.3719,0.1308,10.5718,0.8545,0.0106
TSOPF_RS_b39_c30,60098,1079986,8,0.002,21,jump,rotate,400,138,304406,304406,304406,61516,30428,2.0217,2.905011715811546e-16,1,1,0,1,0.334473,0.328267,0.452343,0.437487,0.446095,0.432977,0.7394,0.7498,0.8155,1.1028,1.014
TSOPF_RS_b39_c30,60098,1079986,8,0.01,17,jump,rotate,400,256,55459.9,305958,3353,62106,30502,2.0361,3.4799005362835824e-16,403,403,649,403,2.781288,0.089166,0.383349,0.32492,27.194603,0.291525,7.2552,0.1023,5.4032,0.7447,0.0141
TSOPF_RS_b39_c30,60098,1079986,8,0.01,18,jump,rotate,400,256,51580.3,305958,3364,62106,30502,2.0361,2.320428132352585e-16,403,403,557,403,2.596567,0.090986,0.409193,0.350006,31.290701,0.30931,6.3456,0.083,4.7107,0.7424,0.0131
TSOPF_RS_b39_c30,60098,1079986,8,0.01,19,jump,rotate,400,256,53461.1,305958,3188,62028,30494,2.0341,3.1758579755019686e-16,403,403,468,403,2.819978,0.107387,0.442043,0.384499,41.184426,0.343244,6.3794,0.0685,4.8387,0.7585,0.0107
TSOPF_RS_b39_c30,60098,1079986,8,0.01,20,jump,rotate,400,256,125264.4,305958,33381,62106,30502,2.0361,2.3128558815491234e-16,403,403,427,403,6.244795,0.202788,0.595894,0.529494,68.491371,0.482917,10.4797,0.0912,8.278,0.7899,0.0087
TSOPF_RS_b39_c30,60098,1079986,8,0.01,21,jump,rotate,400,138,44358.0,304406,2184,61516,30428,2.0217,2.645100820466541e-16,403,402,117,402,2.284805,0.084192,0.40143,0.352596,19.445791,0.344033,5.6917,0.1175,4.2147,0.7405,0.0206
