churn_model,scope,procedure,a,b,statistic,delta,ci_lo,ci_hi,significant,n_cells,n_operators
drift,workload mix (frozen + churning),O3 score-restricted [flat 10% parity band] vs steady,1-D threshold (tree d=1) [both],router (steady),geomean regret,-0.08181,-0.10506,-0.05748,1,513,21
drift,workload mix (frozen + churning),O3 score-restricted [flat 10% parity band] vs steady,1-D threshold (tree d=1) [both],router (steady),worst-case regret,-1.53262,-2.08983,-0.34945,1,513,21
drift,workload mix (frozen + churning),O3 score-restricted [flat 10% parity band] vs steady,1-D threshold (tree d=1) [both],router (steady),accuracy,0.0,0.0,0.0,0,513,21
drift,workload mix (frozen + churning),O3 score-restricted [flat 10% parity band] vs +calib,1-D threshold (tree d=1) [both],router (+calibration),geomean regret,-0.33801,-0.41334,-0.27736,1,513,21
drift,workload mix (frozen + churning),O3 score-restricted [flat 10% parity band] vs +calib,1-D threshold (tree d=1) [both],router (+calibration),worst-case regret,-2.36104,-2.68004,-0.8573,1,513,21
drift,workload mix (frozen + churning),O3 score-restricted [flat 10% parity band] vs +calib,1-D threshold (tree d=1) [both],router (+calibration),accuracy,0.0,0.0,0.0,0,513,21
drift,workload mix (frozen + churning),O3 fit-restricted [flat 10% parity band] vs steady,"1-D threshold (tree d=1) [both, refit]",router (steady),geomean regret,-0.08181,-0.10506,-0.05748,1,513,21
drift,workload mix (frozen + churning),O3 fit-restricted [flat 10% parity band] vs steady,"1-D threshold (tree d=1) [both, refit]",router (steady),worst-case regret,-1.53262,-2.08983,-0.34945,1,513,21
drift,workload mix (frozen + churning),O3 fit-restricted [flat 10% parity band] vs steady,"1-D threshold (tree d=1) [both, refit]",router (steady),accuracy,0.0,0.0,0.0,0,513,21
drift,workload mix (frozen + churning),O3 fit-restricted [flat 10% parity band] vs +calib,"1-D threshold (tree d=1) [both, refit]",router (+calibration),geomean regret,-0.33801,-0.41334,-0.27736,1,513,21
drift,workload mix (frozen + churning),O3 fit-restricted [flat 10% parity band] vs +calib,"1-D threshold (tree d=1) [both, refit]",router (+calibration),worst-case regret,-2.36104,-2.68004,-0.8573,1,513,21
