churn_model,scope,procedure,a,b,statistic,delta,ci_lo,ci_hi,significant,n_cells,n_operators
drift,workload mix (frozen + churning),best-of-six on the scoring rows vs steady,1-D threshold (tree d=1) [structure],router (steady),geomean regret,0.08039,0.04714,0.11439,1,523,21
drift,workload mix (frozen + churning),best-of-six on the scoring rows vs steady,1-D threshold (tree d=1) [structure],router (steady),worst-case regret,2.76649,0.76558,4.50205,1,523,21
drift,workload mix (frozen + churning),best-of-six on the scoring rows vs steady,1-D threshold (tree d=1) [structure],router (steady),accuracy,-0.18928,-0.2,-0.16763,1,523,21
drift,workload mix (frozen + churning),best-of-six on the scoring rows vs +calib,1-D threshold (tree d=1) [structure],router (+calibration),geomean regret,-0.17155,-0.25531,-0.09759,1,523,21
drift,workload mix (frozen + churning),best-of-six on the scoring rows vs +calib,1-D threshold (tree d=1) [structure],router (+calibration),worst-case regret,1.93807,0.17536,3.9942,1,523,21
drift,workload mix (frozen + churning),best-of-six on the scoring rows vs +calib,1-D threshold (tree d=1) [structure],router (+calibration),accuracy,-0.18928,-0.2,-0.16763,1,523,21
drift,workload mix (frozen + churning),pre-registered vs steady,logistic regression [structure],router (steady),geomean regret,0.08039,0.04714,0.11439,1,523,21
drift,workload mix (frozen + churning),pre-registered vs steady,logistic regression [structure],router (steady),worst-case regret,2.76649,0.76558,4.50205,1,523,21
drift,workload mix (frozen + churning),pre-registered vs steady,logistic regression [structure],router (steady),accuracy,-0.18928,-0.2,-0.16763,1,523,21
drift,workload mix (frozen + churning),pre-registered vs +calib,logistic regression [structure],router (+calibration),geomean regret,-0.17155,-0.25531,-0.09759,1,523,21
drift,workload mix (frozen + churning),pre-registered vs +calib,logistic regression [structure],router (+calibration),worst-case regret,1.93807,0.17536,3.9942,1,523,21
drift,workload mix (frozen + churning),pre-registered vs +calib,logistic regression [structure],router (+calibration),accuracy,-0.18928,-0.2,-0.16763,1,523,21
drift,workload mix (frozen + churning),pre-registered (alt) vs steady,1-D threshold (tree d=1) [structure],router (steady),geomean regret,0.08039,0.04714,0.11439,1,523,21
