matrix,N,nnz,B,rho,seed,phase,steps,dirty_cols,always_delta_baseline_ms,always_hst_ms,always_hst_patchable_ms,patchable_vs_per_block,patchable_vs_delta_baseline,oracle3_vs_oracle2,router_ms,router_steady_ms,router_steady_vs_csr,router_steady_vs_oracle,breakeven_steps,oracle_ms,oracle_arm,router_vs_csr,oracle_vs_csr,router_vs_oracle,misroute_cost_if_delta_baseline,misroute_cost_if_hst,maxrelerr,churn_model,patchable_splices,patchable_arena_ratio,rows_patchable,router_arm,router_switches,router_tax_ms
nasa2910,2910,174296,8,0.01,21,False,400,256,0.78018,0.184181,0.234138,0.787,3.332,1.0,0.205711,0.197744,3.945,0.931,1,0.184181,hst,3.793,4.236,0.895,4.236,1.0,3.170894107257953e-16,jump,399,3.4,2910,hst,1,0.819
nasa2910,2910,174296,8,0.05,17,False,400,256,0.782918,0.20144,0.417258,0.483,1.876,1.0,0.224519,0.211272,3.706,0.953,2,0.20144,hst,3.487,3.887,0.897,3.887,1.0,2.8038709295888876e-16,jump,399,4.09,2895,hst,1,1.079
nasa2910,2910,174296,8,0.05,18,False,400,256,0.783588,0.201486,0.411909,0.489,1.902,1.0,0.223376,0.211953,3.697,0.951,2,0.201486,hst,3.508,3.889,0.902,3.889,1.0,3.799423773445064e-16,jump,399,4.307,2889,hst,1,1.037
nasa2910,2910,174296,8,0.05,19,False,400,256,0.786329,0.20405,0.40986,0.498,1.919,1.0,0.226309,0.211456,3.719,0.965,2,0.20405,hst,3.475,3.854,0.902,3.854,1.0,3.9854920332226225e-16,jump,399,3.857,2910,hst,1,1.174
nasa2910,2910,174296,8,0.05,20,False,400,256,0.78268,0.204356,0.417998,0.489,1.872,1.0,0.226465,0.214961,3.641,0.951,2,0.204356,hst,3.456,3.83,0.902,3.83,1.0,3.799423773445064e-16,jump,399,3.746,2910,hst,1,1.035
nasa2910,2910,174296,8,0.05,21,False,400,256,0.787623,0.205,0.412396,0.497,1.91,1.0,0.226019,0.213072,3.697,0.962,2,0.205,hst,3.485,3.842,0.907,3.842,1.0,3.170894107257953e-16,jump,399,4.003,2904,hst,1,1.115
nasa2910,2910,174296,8,0.25,17,False,400,256,0.79001,0.212813,1.086513,0.196,0.727,1.0,0.304598,0.228704,3.454,0.931,18,0.212813,hst,2.594,3.712,0.699,3.712,1.0,2.8038709295888876e-16,jump,399,3.924,2910,hst,1,9.849
nasa2910,2910,174296,8,0.25,18,False,400,256,0.78674,0.213385,1.096946,0.195,0.717,1.0,0.301216,0.228126,3.449,0.935,18,0.213385,hst,2.612,3.687,0.708,3.687,1.0,3.799423773445064e-16,jump,399,4.27,2910,hst,1,9.817
nasa2910,2910,174296,8,0.25,19,False,400,256,0.789181,0.212986,1.09953,0.194,0.718,1.0,0.305894,0.229655,3.436,0.927,18,0.212986,hst,2.58,3.705,0.696,3.705,1.0,3.9854920332226225e-16,jump,399,3.649,2910,hst,1,10.095
nasa2910,2910,174296,8,0.25,20,False,400,256,0.794209,0.214061,1.08437,0.197,0.732,1.0,0.302855,0.228142,3.481,0.938,17,0.214061,hst,2.622,3.71,0.707,3.71,1.0,3.799423773445064e-16,jump,399,3.924,2897,hst,1,9.8
