matrix,N,nnz,ordering,B,rho,seed,steps,dirty_cols,delta_csc_mean_ms,hst_vs_csc,delta_baseline_mean_ms,delta_baseline_rebuilds,hst_vs_delta_baseline,sup_mean_ms,sup_rebuilds,patchable_exec_vs_merged_exec,key_mean_ms,patchable_vs_per_block,patchable_vs_delta_baseline,patchable_splices,patchable_splice_rate,patchable_arena_ratio,patchable_dead_ratio,rows_patchable,rows_merged,rows_per_block,patchable_maxrelerr,rebuilds,rebuild_rate,cache_hit_rate,build_ms_total,build_share,cache_cap,maxrelerr,churn_model
ct20stif,52329,2600295,native,1,0.0,117,200,256,0.016284,0.198,0.027013,1,0.309,0.174259,1,1.056,0.048712,1.153,0.356,0,0.0,1.0,0.0,1146,1146,4766,0.0,0,0.0,1.0,0.0,0.0,8,5.800882484590996e-16,drift
ct20stif,52329,2600295,native,8,0.0,117,200,256,0.066023,0.711,0.035844,1,0.377,0.197135,1,1.086,0.051864,1.105,0.417,0,0.0,1.0,0.0,1146,1146,4766,0.0,0,0.0,1.0,0.0,0.0,8,7.942619320930471e-16,drift
ct20stif,52329,2600295,native,16,0.0,117,200,256,0.12952,1.117,0.052863,1,0.461,0.257792,1,1.155,0.056159,1.095,0.505,0,0.0,1.0,0.0,1146,1146,4766,0.0,0,0.0,1.0,0.0,0.0,8,6.873017675246907e-16,drift
memplus,17758,99147,native,1,0.0,117,200,256,0.008797,0.109,0.0198,1,0.232,0.212668,1,1.101,0.051634,1.178,0.273,0,0.0,1.0,0.0,2395,2395,5840,0.0,0,0.0,1.0,0.0,0.0,8,6.201028084989772e-16,drift
memplus,17758,99147,native,8,0.0,117,200,256,0.03109,0.354,0.024327,1,0.264,0.219845,1,1.063,0.05581,1.105,0.292,0,0.0,1.0,0.0,2395,2395,5840,0.0,0,0.0,1.0,0.0,0.0,8,3.2398002759299214e-16,drift
memplus,17758,99147,native,16,0.0,117,200,256,0.06466,0.657,0.031482,1,0.301,0.246936,1,1.065,0.053825,1.177,0.355,0,0.0,1.0,0.0,2395,2395,5840,0.0,0,0.0,1.0,0.0,0.0,8,6.199912215928888e-16,drift
scircuit,170998,958936,native,1,0.0,117,200,256,0.007164,0.088,0.017842,1,0.224,0.209859,1,0.971,0.054804,1.035,0.231,0,0.0,1.0,0.0,1545,1545,3262,0.0,0,0.0,1.0,0.0,0.0,8,2.185447486948304e-16,drift
scircuit,170998,958936,native,8,0.0,117,200,256,0.033086,0.309,0.037947,1,0.37,0.300743,1,1.074,0.065214,1.049,0.388,0,0.0,1.0,0.0,1545,1545,3262,0.0,0,0.0,1.0,0.0,0.0,8,1.9307405148037254e-16,drift
scircuit,170998,958936,native,16,0.0,117,200,256,0.051022,0.411,0.048024,1,0.427,0.3304,1,1.032,0.068062,0.974,0.416,0,0.0,1.0,0.0,1545,1545,3262,0.0,0,0.0,1.0,0.0,0.0,8,2.247700055132036e-16,drift
TSOPF_RS_b39_c30,60098,1079986,native,1,0.0,217,200,256,0.29693,0.886,0.356956,1,0.936,0.525898,1,1.028,0.047583,1.179,1.104,0,0.0,1.0,0.0,30502,30502,62106,0.0,0,0.0,1.0,0.0,0.0,8,2.161977380894729e-16,drift
