matrix,N,nnz,ordering,B,rho,seed,steps,dirty_cols,delta_csc_mean_ms,hst_vs_csc,delta_baseline_mean_ms,delta_baseline_rebuilds,hst_vs_delta_baseline,sup_mean_ms,sup_rebuilds,patchable_exec_vs_merged_exec,key_mean_ms,patchable_vs_per_block,patchable_vs_delta_baseline,patchable_splices,patchable_splice_rate,patchable_arena_ratio,patchable_dead_ratio,rows_patchable,rows_merged,rows_per_block,patchable_maxrelerr,rebuilds,rebuild_rate,cache_hit_rate,build_ms_total,build_share,cache_cap,maxrelerr,churn_model
scircuit,170998,958936,native,8,0.05,117,200,256,0.04599,0.085,0.234515,200,1.151,1.061141,191,0.93,0.07673,0.789,0.908,199,0.995,4.221,1.787,2232,2232,4666,1.8126616661675988e-16,199,0.995,0.005,80.176,0.7403,8,2.0604893646445764e-16,drift
scircuit,170998,958936,native,8,0.25,117,200,256,0.043551,0.079,0.241369,200,1.147,1.1107,200,0.966,0.07592,0.523,0.6,199,0.995,4.782,2.177,2568,2568,5433,3.0654002591943256e-16,199,0.995,0.005,81.709,0.7423,8,3.0654002591943256e-16,drift
TSOPF_RS_b39_c30,60098,1079986,native,8,0.002,217,200,256,1.596883,2.541,13.141236,177,25.131,1.293923,9,0.844,0.051263,1.071,26.917,9,0.045,1.009,0.004,30540,30540,62376,1.1927887710787569e-18,9,0.045,0.955,43.167,0.3435,8,2.941083192783726e-16,drift
TSOPF_RS_b39_c30,60098,1079986,native,8,0.01,217,200,256,1.589903,1.474,14.739505,200,27.732,2.11974,20,0.962,0.053591,1.094,30.332,30,0.15,1.016,0.008,30590,30590,62846,2.1341983704820673e-18,27,0.135,0.865,127.313,0.5903,8,2.8977104822528274e-16,drift
TSOPF_RS_b39_c30,60098,1079986,native,8,0.05,217,200,256,1.584116,0.572,14.699991,200,27.149,3.918776,44,0.886,0.055265,0.886,24.053,108,0.54,1.064,0.042,30580,30580,62817,2.8019787046388784e-18,98,0.49,0.51,463.538,0.837,8,2.0350133835973304e-16,drift
TSOPF_RS_b39_c30,60098,1079986,native,8,0.25,217,200,256,1.60069,0.326,14.831792,200,25.161,12.32964,157,1.084,0.058807,0.801,20.165,195,0.975,1.097,0.063,30606,30606,62984,1.4138965352625255e-16,189,0.945,0.055,887.875,0.9029,8,1.6299047035453845e-16,drift
bcspwr10,5300,21842,native,8,0.002,217,200,256,0.011033,0.026,0.107807,196,0.735,0.446901,112,1.214,0.056468,1.003,0.738,156,0.78,3.004,0.837,3355,3355,5643,1.8113221697070087e-16,155,0.775,0.225,61.899,0.7208,8,1.8113221697070087e-16,drift
bcspwr10,5300,21842,native,8,0.01,217,200,256,0.011178,0.021,0.112287,200,0.702,0.635822,175,1.094,0.058008,0.853,0.599,198,0.99,5.505,2.596,3437,3437,5919,2.0002284704048606e-16,198,0.99,0.01,80.323,0.7647,8,2.0002284704048606e-16,drift
bcspwr10,5300,21842,native,8,0.05,217,200,256,0.011685,0.021,0.116923,200,0.683,0.734291,200,1.119,0.060112,0.658,0.449,199,0.995,2.959,0.746,3784,3784,6691,2.0621865962298678e-16,199,0.995,0.005,84.861,0.7644,8,2.0621865962298678e-16,drift
bcspwr10,5300,21842,native,8,0.25,217,200,256,0.012089,0.021,0.122969,200,0.685,0.76275,200,1.125,0.061638,0.385,0.264,199,0.995,4.315,1.599,3762,3762,6630,3.167894283928295e-16,199,0.995,0.005,88.346,0.7649,8,2.1119295226188633e-16,drift
