matrix,N,nnz,B,rho,seed,churn_model,churn_alpha,steps,step,is_last,dirty_cols,rows_merged,rows_per_block,rows_patchable,merge
TSOPF_RS_b39_c30,60098,1079986,8,0.05,17,drift,0.5,200,0,False,256,30502,62106,,2.0361
TSOPF_RS_b39_c30,60098,1079986,8,0.05,17,drift,0.5,200,25,False,256,30558,62544,,2.0467
TSOPF_RS_b39_c30,60098,1079986,8,0.05,17,drift,0.5,200,50,False,256,30540,62674,,2.0522
TSOPF_RS_b39_c30,60098,1079986,8,0.05,17,drift,0.5,200,75,False,256,30548,62688,,2.0521
TSOPF_RS_b39_c30,60098,1079986,8,0.05,17,drift,0.5,200,100,False,256,30572,62870,,2.0565
TSOPF_RS_b39_c30,60098,1079986,8,0.05,17,drift,0.5,200,125,False,256,30556,62629,,2.0496
TSOPF_RS_b39_c30,60098,1079986,8,0.05,17,drift,0.5,200,150,False,256,30628,63074,,2.0594
TSOPF_RS_b39_c30,60098,1079986,8,0.05,17,drift,0.5,200,175,False,256,30638,63266,,2.065
TSOPF_RS_b39_c30,60098,1079986,8,0.05,17,drift,0.5,200,199,True,256,30572,62881,30572,2.0568
TSOPF_RS_b39_c30,60098,1079986,8,0.05,117,drift,0.5,200,0,False,256,30502,62106,,2.0361
TSOPF_RS_b39_c30,60098,1079986,8,0.05,117,drift,0.5,200,25,False,256,30564,62590,,2.0478
TSOPF_RS_b39_c30,60098,1079986,8,0.05,117,drift,0.5,200,50,False,256,30590,62850,,2.0546
TSOPF_RS_b39_c30,60098,1079986,8,0.05,117,drift,0.5,200,75,False,256,30548,62688,,2.0521
TSOPF_RS_b39_c30,60098,1079986,8,0.05,117,drift,0.5,200,100,False,256,30554,62688,,2.0517
TSOPF_RS_b39_c30,60098,1079986,8,0.05,117,drift,0.5,200,125,False,256,30580,62979,,2.0595
TSOPF_RS_b39_c30,60098,1079986,8,0.05,117,drift,0.5,200,150,False,256,30662,63480,,2.0703
TSOPF_RS_b39_c30,60098,1079986,8,0.05,117,drift,0.5,200,175,False,256,30670,63586,,2.0732
TSOPF_RS_b39_c30,60098,1079986,8,0.05,117,drift,0.5,200,199,True,256,30596,63099,30596,2.0623
TSOPF_RS_b39_c30,60098,1079986,8,0.05,217,drift,0.5,200,0,False,256,30502,62106,,2.0361
TSOPF_RS_b39_c30,60098,1079986,8,0.05,217,drift,0.5,200,25,False,256,30582,62782,,2.0529
TSOPF_RS_b39_c30,60098,1079986,8,0.05,217,drift,0.5,200,50,False,256,30566,62654,,2.0498
TSOPF_RS_b39_c30,60098,1079986,8,0.05,217,drift,0.5,200,75,False,256,30598,62892,,2.0554
TSOPF_RS_b39_c30,60098,1079986,8,0.05,217,drift,0.5,200,100,False,256,30548,62720,,2.0532
TSOPF_RS_b39_c30,60098,1079986,8,0.05,217,drift,0.5,200,125,False,256,30322,62242,,2.0527
TSOPF_RS_b39_c30,60098,1079986,8,0.05,217,drift,0.5,200,150,False,256,30646,63248,,2.0638
TSOPF_RS_b39_c30,60098,1079986,8,0.05,217,drift,0.5,200,175,False,256,30622,63064,,2.0594
TSOPF_RS_b39_c30,60098,1079986,8,0.05,217,drift,0.5,200,199,True,256,30580,62817,30580,2.0542
TSOPF_RS_b39_c30,60098,1079986,8,0.25,17,drift,0.5,200,0,False,256,30502,62106,,2.0361
TSOPF_RS_b39_c30,60098,1079986,8,0.25,17,drift,0.5,200,25,False,256,30646,63398,,2.0687
TSOPF_RS_b39_c30,60098,1079986,8,0.25,17,drift,0.5,200,50,False,256,30358,62535,,2.0599
TSOPF_RS_b39_c30,60098,1079986,8,0.25,17,drift,0.5,200,75,False,256,30742,63733,,2.0732
TSOPF_RS_b39_c30,60098,1079986,8,0.25,17,drift,0.5,200,100,False,256,30658,63285,,2.0642
