matrix,N,nnz,B,rho,seed,phase,steps,dirty_cols,always_delta_baseline_ms,always_hst_ms,always_hst_patchable_ms,patchable_vs_per_block,patchable_vs_delta_baseline,oracle3_vs_oracle2,router_ms,router_steady_ms,router_steady_vs_csr,router_steady_vs_oracle,breakeven_steps,oracle_ms,oracle_arm,router_vs_csr,oracle_vs_csr,router_vs_oracle,misroute_cost_if_delta_baseline,misroute_cost_if_hst,maxrelerr,churn_model,patchable_splices,patchable_arena_ratio,rows_patchable,router_arm,router_switches,router_tax_ms,ordering,relabel_seed,relabel_relerr,churn_alpha
TSOPF_RS_b300_c1,14538,1474325,8,0.01,19,False,400,256,13.330866,0.568462,0.648656,0.876,20.552,1.0,0.977954,0.572317,23.293,0.993,1,0.568462,hst,13.631,23.451,0.581,23.451,1.0,1.1112960972222602e-16,drift,227,1.77,7812,hst,1,9.555,native,0,0.0,0.5
TSOPF_RS_b300_c1,14538,1474325,8,0.01,19,False,400,256,13.672289,1.397447,3.836363,0.364,3.564,1.0,1.802631,1.366857,10.003,1.022,1,1.397447,hst,7.585,9.784,0.775,9.784,1.0,8.003212187656113e-17,drift,399,2.792,10272,hst,1,15.302,relabelled,101,5.335259338546966e-17,0.5
TSOPF_RS_b300_c1,14538,1474325,8,0.01,20,False,400,256,14.525513,0.59956,0.678115,0.884,21.42,1.0,1.019466,0.604549,24.027,0.992,1,0.59956,hst,14.248,24.227,0.588,24.227,1.0,1.1112960972222602e-16,drift,227,1.543,7827,hst,1,9.917,native,0,0.0,0.5
TSOPF_RS_b300_c1,14538,1474325,8,0.01,20,False,400,256,14.984443,1.474971,4.426988,0.333,3.385,1.0,1.893437,1.441286,10.397,1.023,1,1.474971,hst,7.914,10.159,0.779,10.159,1.0,1.4552135174598123e-16,drift,399,5.033,10329,hst,1,15.619,relabelled,101,5.335259338546966e-17,0.5
TSOPF_RS_b300_c1,14538,1474325,8,0.01,21,False,400,256,18.952696,0.660198,0.795294,0.83,23.831,1.0,1.082073,0.668857,28.336,0.987,1,0.660198,hst,17.515,28.708,0.61,28.708,1.0,1.4073755446586306e-16,drift,299,1.405,7973,hst,1,10.003,native,0,0.0,0.5
TSOPF_RS_b300_c1,14538,1474325,8,0.01,21,False,400,256,19.492594,1.751929,5.173197,0.339,3.768,1.0,2.175381,1.744824,11.172,1.004,1,1.751929,hst,8.961,11.126,0.805,11.126,1.0,1.3516970307264558e-16,drift,399,4.027,10292,hst,1,15.524,relabelled,101,2.2204293698321325e-16,0.5
TSOPF_RS_b300_c1,14538,1474325,8,0.05,17,False,400,256,5.700504,0.287414,0.374063,0.768,15.239,1.0,0.667887,0.261736,21.78,1.098,2,0.287414,hst,8.535,19.834,0.43,19.834,1.0,1.1112960972222602e-16,drift,299,2.118,734,hst,1,9.372,native,0,0.0,0.5
TSOPF_RS_b300_c1,14538,1474325,8,0.05,17,False,400,256,5.865592,0.948965,6.367387,0.149,0.921,1.0,1.337078,0.889007,6.598,1.067,3,0.948965,hst,4.387,6.181,0.71,6.181,1.0,4.867987598354789e-17,drift,399,9.217,10300,hst,1,14.565,relabelled,101,5.335259338546966e-17,0.5
TSOPF_RS_b300_c1,14538,1474325,8,0.05,18,False,400,256,5.649559,0.280268,0.417508,0.671,13.532,1.0,0.646113,0.252387,22.384,1.11,2,0.280268,hst,8.744,20.158,0.434,20.158,1.0,1.1112960972222602e-16,drift,313,1.314,738,hst,1,8.946,native,0,0.0,0.5
TSOPF_RS_b300_c1,14538,1474325,8,0.05,18,False,400,256,5.751901,0.936946,6.637059,0.141,0.867,1.0,1.319963,0.877727,6.553,1.067,3,0.936946,hst,4.358,6.139,0.71,6.139,1.0,1.570681712232391e-16,drift,399,12.321,10258,hst,1,13.672,relabelled,101,5.335259338546966e-17,0.5
TSOPF_RS_b300_c1,14538,1474325,8,0.05,19,False,400,256,7.187623,0.321859,0.425244,0.757,16.902,1.0,0.718027,0.297852,24.131,1.081,1,0.321859,hst,10.01,22.332,0.448,22.332,1.0,1.1112960972222602e-16,drift,294,1.885,702,hst,1,9.642,native,0,0.0,0.5
TSOPF_RS_b300_c1,14538,1474325,8,0.05,19,False,400,256,7.329822,1.030788,6.98294,0.148,1.05,1.0,1.430828,0.965149,7.594,1.068,2,1.030788,hst,5.123,7.111,0.72,7.111,1.0,8.003212187656113e-17,drift,399,11.524,10307,hst,1,15.145,relabelled,101,5.335259338546966e-17,0.5
TSOPF_RS_b300_c1,14538,1474325,8,0.05,20,False,400,256,6.246706,0.278191,0.401894,0.692,15.543,1.0,0.680027,0.24909,25.078,1.117,2,0.278191,hst,9.186,22.455,0.409,22.455,1.0,1.1112960972222602e-16,drift,277,1.711,728,hst,1,9.693,native,0,0.0,0.5
TSOPF_RS_b300_c1,14538,1474325,8,0.05,20,False,400,256,6.329102,0.970272,6.575503,0.148,0.963,1.0,1.390204,0.912312,6.937,1.064,3,0.970272,hst,4.553,6.523,0.698,6.523,1.0,1.4552135174598123e-16,drift,399,9.902,10305,hst,1,15.597,relabelled,101,5.335259338546966e-17,0.5
TSOPF_RS_b300_c1,14538,1474325,8,0.05,21,False,400,256,5.311141,0.245,0.342366,0.716,15.513,1.0,0.614221,0.214117,24.805,1.144,2,0.245,hst,8.647,21.678,0.399,21.678,1.0,1.4073755446586306e-16,drift,284,1.391,738,hst,1,9.161,native,0,0.0,0.5
