matrix,N,nnz,B,rho,seed,motion,lane_order,key_impl,steps,dirty_cols,slice_nnz_mean,slice_nnz_first,slice_nnz_last,rows_per_block,rows_merged,merge_ratio,maxrelerr,delta_baseline_rebuilds,block_open_prepares,block_open_compiles,block_open_merged_prepares,delta_baseline_ms,delta_baseline_exec_ms,block_open_ms,block_open_exec_ms,block_open_merged_ms,block_open_merged_exec_ms,block_open_vs_delta_baseline,block_open_merged_vs_delta_baseline,hst_vs_delta_baseline,hst_vs_block_open,block_open_merged_vs_block_open
scircuit,170998,958936,8,0.05,17,jump,rotate,fast,400,256,1472.3,2342,1460,3376,1855,1.8199,4.2843442093031307e-16,403,403,3072,403,0.178807,0.017,0.245389,0.159847,1.368011,0.099861,0.7287,0.1307,0.4393,0.6029,0.1794
scircuit,170998,958936,8,0.05,18,jump,rotate,fast,400,256,1441.3,1478,1448,1869,774,2.4147,2.4997349521231137e-16,403,403,2434,403,0.174226,0.016343,0.243061,0.162394,1.332512,0.098103,0.7168,0.1308,0.412,0.5747,0.1824
scircuit,170998,958936,8,0.05,19,jump,rotate,fast,400,256,1564.3,3140,1814,6769,3169,2.136,1.3134094301781195e-16,403,403,1927,403,0.184738,0.017585,0.251034,0.171861,1.37832,0.103551,0.7359,0.134,0.422,0.5734,0.1821
scircuit,170998,958936,8,0.25,17,jump,rotate,fast,400,256,1449.3,2342,1532,3376,1855,1.8199,4.2843442093031307e-16,403,403,4807,403,0.173719,0.016484,0.268651,0.174217,1.345321,0.10104,0.6466,0.1291,0.3558,0.5503,0.1997
scircuit,170998,958936,8,0.25,18,jump,rotate,fast,400,256,1427.8,1478,1498,1869,774,2.4147,2.4997349521231137e-16,403,403,1474,403,0.174676,0.016708,0.252376,0.178574,1.346795,0.102296,0.6921,0.1297,0.3749,0.5417,0.1874
scircuit,170998,958936,8,0.25,19,jump,rotate,fast,400,256,1454.3,3140,1400,6769,3169,2.136,1.3134094301781195e-16,403,403,416,403,0.17407,0.016791,0.2437,0.179948,1.368566,0.102939,0.7143,0.1272,0.3911,0.5476,0.1781
bcspwr09,1723,6511,8,0.01,17,jump,rotate,fast,400,256,990.2,1066,942,3703,1518,2.4394,3.35570736004796e-16,403,364,203,364,0.100139,0.006298,0.07178,0.045366,0.535521,0.037848,1.3951,0.187,1.0387,0.7446,0.134
bcspwr09,1723,6511,8,0.01,18,jump,rotate,fast,400,256,970.3,1032,976,3668,1551,2.3649,1.9523223404417386e-16,403,368,0,368,0.098808,0.006186,0.072669,0.04667,0.559476,0.03825,1.3597,0.1766,1.0111,0.7436,0.1299
bcspwr09,1723,6511,8,0.01,19,jump,rotate,fast,400,256,986.0,1023,1025,3317,1501,2.2099,1.5331133762997147e-16,403,364,0,364,0.098984,0.00621,0.071897,0.045987,0.538731,0.037914,1.3767,0.1837,1.0318,0.7494,0.1335
bcspwr09,1723,6511,8,0.05,17,jump,rotate,fast,400,256,984.2,1066,922,3703,1518,2.4394,3.35570736004796e-16,403,403,0,403,0.09971,0.006152,0.073613,0.04678,0.606221,0.038506,1.3545,0.1645,0.9678,0.7145,0.1214
