churn_model,scope,regime,model,lomo_acc,insample_acc,regret_geo,regret_p90,regret_worst,cells_over_2x,n_cells,n_positive,label_collapse
drift,workload mix (frozen + churning),structure,decision tree d=3,0.805,0.805,1.1592,1.8686,5.8515,50,523,421,0
drift,workload mix (frozen + churning),structure,logistic regression,0.805,0.805,1.1592,1.8686,5.8515,50,523,421,0
drift,workload mix (frozen + churning),structure,kNN (k=5),0.7935,0.7533,1.1977,2.3699,13.4545,58,523,421,0
drift,workload mix (frozen + churning),structure,random forest (300),0.805,0.805,1.1592,1.8686,5.8515,50,523,421,0
drift,workload mix (frozen + churning),structure,gradient boosting,0.805,0.805,1.1592,1.8686,5.8515,50,523,421,0
drift,workload mix (frozen + churning),churn,always column-exact,0.195,0.195,3.9437,22.3593,35.5651,331,523,421,0
drift,workload mix (frozen + churning),churn,always block-scheduled,0.805,0.805,1.1592,1.8686,5.8515,50,523,421,0
drift,workload mix (frozen + churning),churn,1-D threshold (tree d=1),0.9943,0.9943,1.0,1.0,1.0097,0,523,421,0
drift,workload mix (frozen + churning),churn,decision tree d=3,0.9943,0.9943,1.0,1.0,1.0097,0,523,421,0
drift,workload mix (frozen + churning),churn,logistic regression,0.805,0.805,1.1592,1.8686,5.8515,50,523,421,0
drift,workload mix (frozen + churning),churn,kNN (k=5),0.8031,0.805,1.1591,1.8686,5.8515,50,523,421,0
drift,workload mix (frozen + churning),churn,random forest (300),0.9943,0.9943,1.0,1.0,1.0097,0,523,421,0
drift,workload mix (frozen + churning),churn,gradient boosting,0.9943,0.9943,1.0,1.0,1.0097,0,523,421,0
drift,workload mix (frozen + churning),both,always column-exact,0.195,0.195,3.9437,22.3593,35.5651,331,523,421,0
drift,workload mix (frozen + churning),both,always block-scheduled,0.805,0.805,1.1592,1.8686,5.8515,50,523,421,0
drift,workload mix (frozen + churning),both,1-D threshold (tree d=1),0.9943,0.9943,1.0,1.0,1.0097,0,523,421,0
drift,workload mix (frozen + churning),both,decision tree d=3,0.9847,0.9962,1.0031,1.0,1.4011,0,523,421,0
drift,workload mix (frozen + churning),both,logistic regression,0.805,0.805,1.1592,1.8686,5.8515,50,523,421,0
drift,workload mix (frozen + churning),both,kNN (k=5),0.847,0.8929,1.138,1.6819,5.8515,46,523,421,0
drift,workload mix (frozen + churning),both,random forest (300),0.9943,0.9981,1.0,1.0,1.0097,0,523,421,0
drift,workload mix (frozen + churning),both,gradient boosting,0.9847,0.9981,1.0031,1.0,1.4011,0,523,421,0
drift,workload mix (frozen + churning),measured,MEASURED ROUTER (steady),0.9943,,1.0787,1.1676,3.0898,2,523,421,
drift,workload mix (frozen + churning),measured,MEASURED ROUTER (+calib),0.9943,,1.3301,1.6403,3.68,16,523,421,
jump,frozen only,structure,always column-exact,0.9524,0.9524,1.0007,1.0,1.0332,0,105,5,0
jump,frozen only,structure,always block-scheduled,0.0476,0.0476,2.1162,3.7811,5.8688,50,105,5,0
jump,frozen only,structure,1-D threshold (tree d=1),0.8571,0.9524,1.066,1.0275,3.9557,5,105,5,0
jump,frozen only,structure,decision tree d=3,0.8095,1.0,1.0979,1.2447,3.9557,6,105,5,0
jump,frozen only,structure,logistic regression,0.9333,1.0,1.0203,1.0,2.7788,2,105,5,0
jump,frozen only,structure,kNN (k=5),0.9238,1.0,1.0178,1.0,1.8342,0,105,5,0
jump,frozen only,structure,random forest (300),0.8667,1.0,1.0794,1.0086,3.9557,5,105,5,0
jump,frozen only,structure,gradient boosting,0.8095,1.0,1.0979,1.2447,3.9557,6,105,5,0
jump,frozen only,churn,always column-exact,0.9524,0.9524,1.0007,1.0,1.0332,0,105,5,0
jump,frozen only,churn,always block-scheduled,0.0476,0.0476,2.1162,3.7811,5.8688,50,105,5,0
jump,frozen only,churn,1-D threshold (tree d=1),0.9524,0.9524,1.0007,1.0,1.0332,0,105,5,0
jump,frozen only,churn,decision tree d=3,0.9524,0.9524,1.0007,1.0,1.0332,0,105,5,0
jump,frozen only,churn,logistic regression,0.9524,0.9524,1.0007,1.0,1.0332,0,105,5,0
jump,frozen only,churn,kNN (k=5),0.0,0.0476,2.1178,3.7811,5.8688,50,105,5,0
jump,frozen only,churn,random forest (300),0.9524,0.9524,1.0007,1.0,1.0332,0,105,5,0
jump,frozen only,churn,gradient boosting,0.9524,0.9524,1.0007,1.0,1.0332,0,105,5,0
jump,frozen only,both,always column-exact,0.9524,0.9524,1.0007,1.0,1.0332,0,105,5,0
jump,frozen only,both,always block-scheduled,0.0476,0.0476,2.1162,3.7811,5.8688,50,105,5,0
jump,frozen only,both,1-D threshold (tree d=1),0.8571,0.9524,1.066,1.0275,3.9557,5,105,5,0
jump,frozen only,both,decision tree d=3,0.8095,1.0,1.0979,1.2447,3.9557,6,105,5,0
jump,frozen only,both,logistic regression,0.9333,1.0,1.0203,1.0,2.7788,2,105,5,0
jump,frozen only,both,kNN (k=5),0.9238,1.0,1.0178,1.0,1.8342,0,105,5,0
jump,frozen only,both,random forest (300),0.8571,1.0,1.0869,1.0275,3.9557,6,105,5,0
jump,frozen only,both,gradient boosting,0.8095,1.0,1.0979,1.2447,3.9557,6,105,5,0
jump,frozen only,measured,MEASURED ROUTER (steady),0.9524,,1.0402,1.1739,1.2149,0,105,5,
jump,frozen only,measured,MEASURED ROUTER (+calib),0.9524,,1.1083,1.2312,1.2673,0,105,5,
jump,churning only,structure,always column-exact,0.253,0.253,2.0562,5.2384,19.924,187,419,313,0
jump,churning only,structure,always block-scheduled,0.747,0.747,1.0705,1.3038,2.4048,8,419,313,0
jump,churning only,structure,1-D threshold (tree d=1),0.747,0.7947,1.1087,1.3282,6.8434,21,419,313,0
jump,churning only,structure,decision tree d=3,0.7566,0.8663,1.0763,1.2622,4.5544,10,419,313,0
jump,churning only,structure,logistic regression,0.8329,0.8568,1.0477,1.0965,4.5544,9,419,313,0
jump,churning only,structure,kNN (k=5),0.7375,0.8663,1.0748,1.3176,2.4048,8,419,313,0
jump,churning only,structure,random forest (300),0.79,0.8663,1.0553,1.2093,2.4048,8,419,313,0
jump,churning only,structure,gradient boosting,0.8282,0.8663,1.0514,1.1059,4.5544,10,419,313,0
jump,churning only,churn,always column-exact,0.253,0.253,2.0562,5.2384,19.924,187,419,313,0
jump,churning only,churn,always block-scheduled,0.747,0.747,1.0705,1.3038,2.4048,8,419,313,0
jump,churning only,churn,1-D threshold (tree d=1),0.747,0.747,1.0705,1.3038,2.4048,8,419,313,0
jump,churning only,churn,decision tree d=3,0.747,0.747,1.0705,1.3038,2.4048,8,419,313,0
jump,churning only,churn,logistic regression,0.747,0.747,1.0705,1.3038,2.4048,8,419,313,0
jump,churning only,churn,kNN (k=5),0.7232,0.747,1.0953,1.3986,4.8982,15,419,313,0
jump,churning only,churn,random forest (300),0.747,0.747,1.0705,1.3038,2.4048,8,419,313,0
