matrix,N,nnz,B,rho,seed,churn_model,churn_alpha,steps,step,is_last,dirty_cols,rows_merged,rows_per_block,rows_patchable,merge
TSOPF_RS_b39_c30,60098,1079986,8,0.01,19,jump,0.5,200,0,False,256,30494,62028,,2.0341
TSOPF_RS_b39_c30,60098,1079986,8,0.01,19,jump,0.5,200,25,False,256,31502,64420,,2.0449
TSOPF_RS_b39_c30,60098,1079986,8,0.01,19,jump,0.5,200,50,False,256,32220,66266,,2.0567
TSOPF_RS_b39_c30,60098,1079986,8,0.01,19,jump,0.5,200,75,False,256,32844,67684,,2.0608
TSOPF_RS_b39_c30,60098,1079986,8,0.01,19,jump,0.5,200,100,False,256,33238,68764,,2.0688
TSOPF_RS_b39_c30,60098,1079986,8,0.01,19,jump,0.5,200,125,False,256,33274,68736,,2.0658
TSOPF_RS_b39_c30,60098,1079986,8,0.01,19,jump,0.5,200,150,False,256,33370,38736,,1.1608
TSOPF_RS_b39_c30,60098,1079986,8,0.01,19,jump,0.5,200,175,False,256,33480,38793,,1.1587
TSOPF_RS_b39_c30,60098,1079986,8,0.01,19,jump,0.5,200,199,True,256,33646,38937,33646,1.1573
TSOPF_RS_b39_c30,60098,1079986,8,0.01,20,jump,0.5,200,0,False,256,30502,62106,,2.0361
TSOPF_RS_b39_c30,60098,1079986,8,0.01,20,jump,0.5,200,25,False,256,31522,64476,,2.0454
TSOPF_RS_b39_c30,60098,1079986,8,0.01,20,jump,0.5,200,50,False,256,32286,66256,,2.0522
TSOPF_RS_b39_c30,60098,1079986,8,0.01,20,jump,0.5,200,75,False,256,32874,67648,,2.0578
TSOPF_RS_b39_c30,60098,1079986,8,0.01,20,jump,0.5,200,100,False,256,33300,68534,,2.0581
TSOPF_RS_b39_c30,60098,1079986,8,0.01,20,jump,0.5,200,125,False,256,33516,68909,,2.056
TSOPF_RS_b39_c30,60098,1079986,8,0.01,20,jump,0.5,200,150,False,256,33606,69163,,2.0581
TSOPF_RS_b39_c30,60098,1079986,8,0.01,20,jump,0.5,200,175,False,256,33750,69532,,2.0602
TSOPF_RS_b39_c30,60098,1079986,8,0.01,20,jump,0.5,200,199,True,256,33884,69767,33884,2.059
TSOPF_RS_b39_c30,60098,1079986,8,0.01,21,jump,0.5,200,0,False,138,30428,61516,,2.0217
TSOPF_RS_b39_c30,60098,1079986,8,0.01,21,jump,0.5,200,25,False,138,30792,62376,,2.0257
TSOPF_RS_b39_c30,60098,1079986,8,0.01,21,jump,0.5,200,50,False,138,31050,62986,,2.0285
TSOPF_RS_b39_c30,60098,1079986,8,0.01,21,jump,0.5,200,75,False,138,31308,63522,,2.0289
TSOPF_RS_b39_c30,60098,1079986,8,0.01,21,jump,0.5,200,100,False,138,31498,63972,,2.031
TSOPF_RS_b39_c30,60098,1079986,8,0.01,21,jump,0.5,200,125,False,138,31706,64474,,2.0335
TSOPF_RS_b39_c30,60098,1079986,8,0.01,21,jump,0.5,200,150,False,138,31780,64594,,2.0325
TSOPF_RS_b39_c30,60098,1079986,8,0.01,21,jump,0.5,200,175,False,138,31896,64834,,2.0327
TSOPF_RS_b39_c30,60098,1079986,8,0.01,21,jump,0.5,200,199,True,138,31992,35050,31992,1.0956
TSOPF_RS_b39_c30,60098,1079986,8,0.05,17,jump,0.5,200,0,False,256,30502,62106,,2.0361
TSOPF_RS_b39_c30,60098,1079986,8,0.05,17,jump,0.5,200,25,False,256,33200,68544,,2.0646
TSOPF_RS_b39_c30,60098,1079986,8,0.05,17,jump,0.5,200,50,False,256,9100,9703,,1.0663
TSOPF_RS_b39_c30,60098,1079986,8,0.05,17,jump,0.5,200,75,False,256,9198,9734,,1.0583
TSOPF_RS_b39_c30,60098,1079986,8,0.05,17,jump,0.5,200,100,False,256,8876,9492,,1.0694
TSOPF_RS_b39_c30,60098,1079986,8,0.05,17,jump,0.5,200,125,False,256,8770,9336,,1.0645
TSOPF_RS_b39_c30,60098,1079986,8,0.05,17,jump,0.5,200,150,False,256,8862,9468,,1.0684
TSOPF_RS_b39_c30,60098,1079986,8,0.05,17,jump,0.5,200,175,False,256,8922,9502,,1.065
TSOPF_RS_b39_c30,60098,1079986,8,0.05,17,jump,0.5,200,199,True,256,8894,9352,8894,1.0515
TSOPF_RS_b39_c30,60098,1079986,8,0.05,18,jump,0.5,200,0,False,256,30502,62106,,2.0361
TSOPF_RS_b39_c30,60098,1079986,8,0.05,18,jump,0.5,200,25,False,256,33394,38760,,1.1607
TSOPF_RS_b39_c30,60098,1079986,8,0.05,18,jump,0.5,200,50,False,256,33662,39096,,1.1614
TSOPF_RS_b39_c30,60098,1079986,8,0.05,18,jump,0.5,200,75,False,256,8703,9357,,1.0751
TSOPF_RS_b39_c30,60098,1079986,8,0.05,18,jump,0.5,200,100,False,256,8852,9336,,1.0547
TSOPF_RS_b39_c30,60098,1079986,8,0.05,18,jump,0.5,200,125,False,256,8796,9406,,1.0693
TSOPF_RS_b39_c30,60098,1079986,8,0.05,18,jump,0.5,200,150,False,256,8678,9276,,1.0689
TSOPF_RS_b39_c30,60098,1079986,8,0.05,18,jump,0.5,200,175,False,256,9396,10013,,1.0657
TSOPF_RS_b39_c30,60098,1079986,8,0.05,18,jump,0.5,200,199,True,256,8758,9284,8758,1.0601
TSOPF_RS_b39_c30,60098,1079986,8,0.05,19,jump,0.5,200,0,False,256,30494,62028,,2.0341
TSOPF_RS_b39_c30,60098,1079986,8,0.05,19,jump,0.5,200,25,False,256,33456,69101,,2.0654
TSOPF_RS_b39_c30,60098,1079986,8,0.05,19,jump,0.5,200,50,False,256,33957,69823,,2.0562
TSOPF_RS_b39_c30,60098,1079986,8,0.05,19,jump,0.5,200,75,False,256,8865,9273,,1.046
TSOPF_RS_b39_c30,60098,1079986,8,0.05,19,jump,0.5,200,100,False,256,8640,9202,,1.065
TSOPF_RS_b39_c30,60098,1079986,8,0.05,19,jump,0.5,200,125,False,256,8818,9264,,1.0506
TSOPF_RS_b39_c30,60098,1079986,8,0.05,19,jump,0.5,200,150,False,256,8744,9288,,1.0622
TSOPF_RS_b39_c30,60098,1079986,8,0.05,19,jump,0.5,200,175,False,256,8656,9246,,1.0682
TSOPF_RS_b39_c30,60098,1079986,8,0.05,19,jump,0.5,200,199,True,256,8966,9500,8966,1.0596
TSOPF_RS_b39_c30,60098,1079986,8,0.05,20,jump,0.5,200,0,False,256,30502,62106,,2.0361
TSOPF_RS_b39_c30,60098,1079986,8,0.05,20,jump,0.5,200,25,False,256,33088,67930,,2.053
TSOPF_RS_b39_c30,60098,1079986,8,0.05,20,jump,0.5,200,50,False,256,33728,39163,,1.1611
TSOPF_RS_b39_c30,60098,1079986,8,0.05,20,jump,0.5,200,75,False,256,8614,9230,,1.0715
TSOPF_RS_b39_c30,60098,1079986,8,0.05,20,jump,0.5,200,100,False,256,8762,9228,,1.0532
TSOPF_RS_b39_c30,60098,1079986,8,0.05,20,jump,0.5,200,125,False,256,8892,9430,,1.0605
TSOPF_RS_b39_c30,60098,1079986,8,0.05,20,jump,0.5,200,150,False,256,8858,9326,,1.0528
TSOPF_RS_b39_c30,60098,1079986,8,0.05,20,jump,0.5,200,175,False,256,8731,9363,,1.0724
TSOPF_RS_b39_c30,60098,1079986,8,0.05,20,jump,0.5,200,199,True,256,8685,9421,8685,1.0847
TSOPF_RS_b39_c30,60098,1079986,8,0.05,21,jump,0.5,200,0,False,138,30428,61516,,2.0217
TSOPF_RS_b39_c30,60098,1079986,8,0.05,21,jump,0.5,200,25,False,138,32044,65261,,2.0366
TSOPF_RS_b39_c30,60098,1079986,8,0.05,21,jump,0.5,200,50,False,138,32118,35388,,1.1018
TSOPF_RS_b39_c30,60098,1079986,8,0.05,21,jump,0.5,200,75,False,138,4869,5127,,1.053
TSOPF_RS_b39_c30,60098,1079986,8,0.05,21,jump,0.5,200,100,False,138,4897,5015,,1.0241
TSOPF_RS_b39_c30,60098,1079986,8,0.05,21,jump,0.5,200,125,False,138,4785,5055,,1.0564
TSOPF_RS_b39_c30,60098,1079986,8,0.05,21,jump,0.5,200,150,False,138,5020,5124,,1.0207
TSOPF_RS_b39_c30,60098,1079986,8,0.05,21,jump,0.5,200,175,False,138,4934,5172,,1.0482
TSOPF_RS_b39_c30,60098,1079986,8,0.05,21,jump,0.5,200,199,True,138,5012,5140,5012,1.0255
TSOPF_RS_b39_c30,60098,1079986,8,0.25,17,jump,0.5,200,0,False,256,30502,62106,,2.0361
TSOPF_RS_b39_c30,60098,1079986,8,0.25,17,jump,0.5,200,25,False,256,8798,9288,,1.0557
TSOPF_RS_b39_c30,60098,1079986,8,0.25,17,jump,0.5,200,50,False,256,8866,9338,,1.0532
TSOPF_RS_b39_c30,60098,1079986,8,0.25,17,jump,0.5,200,75,False,256,8929,9393,,1.052
TSOPF_RS_b39_c30,60098,1079986,8,0.25,17,jump,0.5,200,100,False,256,8731,9395,,1.0761
TSOPF_RS_b39_c30,60098,1079986,8,0.25,17,jump,0.5,200,125,False,256,8556,9078,,1.061
TSOPF_RS_b39_c30,60098,1079986,8,0.25,17,jump,0.5,200,150,False,256,8674,9402,,1.0839
TSOPF_RS_b39_c30,60098,1079986,8,0.25,17,jump,0.5,200,175,False,256,33830,39412,,1.165
TSOPF_RS_b39_c30,60098,1079986,8,0.25,17,jump,0.5,200,199,True,256,8797,9315,8797,1.0589
TSOPF_RS_b39_c30,60098,1079986,8,0.25,18,jump,0.5,200,0,False,256,30502,62106,,2.0361
TSOPF_RS_b39_c30,60098,1079986,8,0.25,18,jump,0.5,200,25,False,256,8758,9186,,1.0489
TSOPF_RS_b39_c30,60098,1079986,8,0.25,18,jump,0.5,200,50,False,256,8617,9295,,1.0787
TSOPF_RS_b39_c30,60098,1079986,8,0.25,18,jump,0.5,200,75,False,256,8696,9174,,1.055
TSOPF_RS_b39_c30,60098,1079986,8,0.25,18,jump,0.5,200,100,False,256,8803,9461,,1.0747
TSOPF_RS_b39_c30,60098,1079986,8,0.25,18,jump,0.5,200,125,False,256,8660,9256,,1.0688
TSOPF_RS_b39_c30,60098,1079986,8,0.25,18,jump,0.5,200,150,False,256,8692,9162,,1.0541
TSOPF_RS_b39_c30,60098,1079986,8,0.25,18,jump,0.5,200,175,False,256,33850,39530,,1.1678
