matrix,N,B,k,scratch_mb,merged_build_ms,patchable_build_ms,tax_ms
TSOPF_RS_b39_c30,60098,8,256,3.67,4.3426,12.6606,0.0086
bcspwr10,5300,8,256,0.32,0.3798,1.5064,0.0085
ct20stif,52329,8,256,3.19,0.3138,1.0072,0.0084
memplus,17758,8,256,1.08,0.6108,2.5202,0.0083
scircuit,170998,8,256,10.44,0.1636,0.6751,0.0083
