matrix,N,nnz,B,rho,seed,phase,steps,dirty_cols,always_delta_baseline_ms,always_hst_ms,always_hst_patchable_ms,patchable_vs_per_block,patchable_vs_delta_baseline,oracle3_vs_oracle2,router_ms,router_steady_ms,router_steady_vs_csr,router_steady_vs_oracle,breakeven_steps,oracle_ms,oracle_arm,router_vs_csr,oracle_vs_csr,router_vs_oracle,misroute_cost_if_delta_baseline,misroute_cost_if_hst,maxrelerr,churn_model,patchable_splices,patchable_arena_ratio,rows_patchable,router_arm,router_switches,router_tax_ms,ordering,relabel_seed,relabel_relerr,churn_alpha
bcsstk18,11948,149090,8,0.01,17,False,400,256,0.33746,0.102542,0.091989,1.115,3.668,1.115,0.119632,0.112022,3.012,0.915,5,0.102542,hst,2.821,3.291,0.857,3.291,1.0,8.625236741385534e-17,mix,226,3.274,1828,hst,1,1.104,native,0,0.0,0.0
bcsstk18,11948,149090,8,0.01,18,False,400,256,0.30255,0.089372,0.080227,1.114,3.771,1.114,0.139952,0.101629,2.977,0.879,29,0.089372,hst,2.162,3.385,0.639,3.385,1.0,1.7955529896133775e-16,mix,199,3.535,2058,hst,1,5.832,native,0,0.0,0.0
bcsstk18,11948,149090,8,0.01,19,False,400,256,0.263727,0.099611,0.091148,1.093,2.893,1.093,0.147664,0.113492,2.324,0.878,40,0.099611,hst,1.786,2.648,0.675,2.648,1.0,1.3804959837172369e-16,mix,252,1.245,1968,hst,1,5.96,native,0,0.0,0.0
bcsstk18,11948,149090,8,0.01,20,False,400,256,0.283565,0.111877,0.105165,1.064,2.696,1.064,0.161706,0.129639,2.187,0.863,36,0.111877,hst,1.754,2.535,0.692,2.535,1.0,2.057824038214574e-16,mix,261,4.159,2421,hst,1,5.522,native,0,0.0,0.0
bcsstk18,11948,149090,8,0.01,21,False,400,256,0.297124,0.08716,0.078857,1.105,3.768,1.105,0.137068,0.100757,2.949,0.865,29,0.08716,hst,2.168,3.409,0.636,3.409,1.0,3.703333649681202e-16,mix,199,3.248,1626,hst,1,5.664,native,0,0.0,0.0
bcsstk18,11948,149090,8,0.25,17,False,400,256,0.360951,0.164117,0.378228,0.434,0.954,1.0,0.221015,0.179279,2.013,0.915,45,0.164117,hst,1.633,2.199,0.743,2.199,1.0,8.625236741385534e-17,mix,399,3.34,2391,hst,1,8.096,native,0,0.0,0.0
bcsstk18,11948,149090,8,0.25,18,False,400,256,0.367051,0.159301,0.367974,0.433,0.997,1.0,0.220933,0.181277,2.025,0.879,41,0.159301,hst,1.661,2.304,0.721,2.304,1.0,1.7955529896133775e-16,mix,399,3.329,2108,hst,1,7.615,native,0,0.0,0.0
bcsstk18,11948,149090,8,0.25,19,False,400,256,0.284679,0.113719,0.30267,0.376,0.941,1.0,0.151539,0.122976,2.315,0.925,34,0.113719,hst,1.879,2.503,0.75,2.503,1.0,1.3804959837172369e-16,mix,399,2.121,2320,hst,1,5.44,native,0,0.0,0.0
bcsstk18,11948,149090,8,0.25,20,False,400,256,0.284714,0.10885,0.28736,0.379,0.991,1.0,0.147369,0.118099,2.411,0.922,33,0.10885,hst,1.932,2.616,0.739,2.616,1.0,2.057824038214574e-16,mix,399,2.875,1765,hst,1,5.575,native,0,0.0,0.0
bcsstk18,11948,149090,8,0.25,21,False,400,256,0.27373,0.108237,0.287329,0.377,0.953,1.0,0.146903,0.11859,2.308,0.913,34,0.108237,hst,1.863,2.529,0.737,2.529,1.0,3.703333649681202e-16,mix,399,3.218,1906,hst,1,5.241,native,0,0.0,0.0
