churn_model,scope,contrast,a,b,statistic,delta,ci_lo,ci_hi,significant,n_cells,n_operators
jump,churning only,(c) nested structure+rho vs measured router,nested selection [structure+rho],measured router (steady),geomean regret,-0.05988,-0.08063,-0.03961,1,419,21
jump,churning only,(c) nested structure+rho vs measured router,nested selection [structure+rho],measured router (steady),worst-case regret,-0.1683,-0.19892,0.01606,0,419,21
jump,churning only,(c) nested structure+rho vs measured router,nested selection [structure+rho],measured router (steady),accuracy,0.00304,-0.06205,0.05742,0,419,21
jump,churning only,(d) nested structure+rho vs measured router incl. calibration,nested selection [structure+rho],measured router (+calibration),geomean regret,-0.3044,-0.39024,-0.23259,1,419,21
jump,churning only,(d) nested structure+rho vs measured router incl. calibration,nested selection [structure+rho],measured router (+calibration),worst-case regret,-0.98083,-1.41855,-0.46274,1,419,21
jump,churning only,(d) nested structure+rho vs measured router incl. calibration,nested selection [structure+rho],measured router (+calibration),accuracy,0.00304,-0.06205,0.05742,0,419,21
jump,workload mix (frozen + churning),(a) nested structure-only vs measured router,nested selection [structure],measured router (steady),geomean regret,0.10393,0.02274,0.20401,1,524,21
jump,workload mix (frozen + churning),(a) nested structure-only vs measured router,nested selection [structure],measured router (steady),worst-case regret,4.16581,2.04107,5.46214,1,524,21
jump,workload mix (frozen + churning),(a) nested structure-only vs measured router,nested selection [structure],measured router (steady),accuracy,-0.22163,-0.33015,-0.11615,1,524,21
jump,workload mix (frozen + churning),(b) rho-only tree d=1 vs nested structure-only,1-D threshold on rho,nested selection [structure],geomean regret,-0.12338,-0.22496,-0.03891,1,524,21
jump,workload mix (frozen + churning),(b) rho-only tree d=1 vs nested structure-only,1-D threshold on rho,nested selection [structure],worst-case regret,-3.83588,-5.3958,-1.55087,1,524,21
jump,workload mix (frozen + churning),(b) rho-only tree d=1 vs nested structure-only,1-D threshold on rho,nested selection [structure],accuracy,0.12468,-0.00961,0.25763,0,524,21
jump,workload mix (frozen + churning),(c) nested structure+rho vs measured router,nested selection [structure+rho],measured router (steady),geomean regret,-0.04378,-0.06876,-0.01878,1,524,21
jump,workload mix (frozen + churning),(c) nested structure+rho vs measured router,nested selection [structure+rho],measured router (steady),worst-case regret,1.33819,-0.16681,2.04107,0,524,21
jump,workload mix (frozen + churning),(c) nested structure+rho vs measured router,nested selection [structure+rho],measured router (steady),accuracy,-0.00525,-0.06667,0.04962,0,524,21
jump,workload mix (frozen + churning),(d) nested structure+rho vs measured router incl. calibration,nested selection [structure+rho],measured router (+calibration),geomean regret,-0.24969,-0.31041,-0.19352,1,524,21
jump,workload mix (frozen + churning),(d) nested structure+rho vs measured router incl. calibration,nested selection [structure+rho],measured router (+calibration),worst-case regret,0.52566,-1.41855,1.44192,0,524,21
jump,workload mix (frozen + churning),(d) nested structure+rho vs measured router incl. calibration,nested selection [structure+rho],measured router (+calibration),accuracy,-0.00525,-0.06667,0.04962,0,524,21
