matrix,N,nnz,B,rho,seed,phase,steps,dirty_cols,always_delta_baseline_ms,always_hst_ms,always_hst_patchable_ms,patchable_vs_per_block,patchable_vs_delta_baseline,oracle3_vs_oracle2,router_ms,router_steady_ms,router_steady_vs_csr,router_steady_vs_oracle,breakeven_steps,oracle_ms,oracle_arm,router_vs_csr,oracle_vs_csr,router_vs_oracle,misroute_cost_if_delta_baseline,misroute_cost_if_hst,maxrelerr,churn_model,patchable_splices,patchable_arena_ratio,rows_patchable,router_arm,router_switches,router_tax_ms,ordering,relabel_seed,relabel_relerr,churn_alpha
bcspwr10,5300,21842,8,0.25,18,False,200,256,0.088171,0.097343,0.599911,0.162,0.147,1.0,0.127472,0.095646,0.922,0.922,,0.088171,delta_baseline,0.692,1.0,0.692,1.0,1.104,3.513861746800697e-16,mix,199,5.893,3966,delta_baseline,0,4.73,native,0,0.0,0.75
bcspwr10,5300,21842,8,0.25,19,False,200,256,0.089108,0.097598,0.600047,0.163,0.149,1.0,0.125341,0.094566,0.942,0.942,,0.089108,delta_baseline,0.711,1.0,0.711,1.0,1.095,2.258919437555397e-16,mix,199,6.001,4008,delta_baseline,0,4.678,native,0,0.0,0.75
scircuit,170998,958936,8,0.01,17,False,200,256,0.160345,0.263066,0.192237,1.368,0.834,1.0,0.31866,0.174451,0.919,0.919,,0.160345,delta_baseline,0.503,1.0,0.503,1.0,1.641,2.6050372849850016e-16,mix,199,3.035,7149,hst,1,25.428,native,0,0.0,0.75
scircuit,170998,958936,8,0.01,18,False,200,256,0.126145,0.155828,0.159615,0.976,0.79,1.0,0.303369,0.164117,0.769,0.769,,0.126145,delta_baseline,0.416,1.0,0.416,1.0,1.235,2.0386846321125864e-16,mix,199,3.493,5311,hst,1,25.235,native,0,0.0,0.75
scircuit,170998,958936,8,0.01,19,False,200,256,0.19392,0.173235,0.224204,0.773,0.865,1.0,0.355547,0.198705,0.976,0.872,,0.173235,hst,0.545,1.119,0.487,1.119,1.0,1.8803246323926756e-16,mix,199,2.372,6905,hst,1,26.981,native,0,0.0,0.75
scircuit,170998,958936,8,0.25,17,False,200,256,0.137802,0.320569,0.763514,0.42,0.18,1.0,0.332455,0.1824,0.755,0.755,,0.137802,delta_baseline,0.414,1.0,0.414,1.0,2.326,2.6050372849850016e-16,mix,199,4.13,5955,delta_baseline,0,30.893,native,0,0.0,0.75
scircuit,170998,958936,8,0.25,18,False,200,256,0.142606,0.300306,0.766421,0.392,0.186,1.0,0.332232,0.181644,0.785,0.785,,0.142606,delta_baseline,0.429,1.0,0.429,1.0,2.106,2.0386846321125864e-16,mix,199,2.015,5783,delta_baseline,0,30.77,native,0,0.0,0.75
scircuit,170998,958936,8,0.25,19,False,200,256,0.142675,0.287559,0.761035,0.378,0.187,1.0,0.327625,0.166265,0.858,0.858,,0.142675,delta_baseline,0.435,1.0,0.435,1.0,2.015,1.8803246323926756e-16,mix,199,5.966,6572,delta_baseline,0,31.841,native,0,0.0,0.75
memplus,17758,99147,8,0.01,17,False,200,256,0.636679,0.129294,0.227911,0.567,2.794,1.0,0.164842,0.130766,4.869,0.989,2,0.129294,hst,3.862,4.924,0.784,4.924,1.0,3.582437197197559e-16,mix,199,3.748,9582,hst,1,1.251,native,0,0.0,0.75
memplus,17758,99147,8,0.01,18,False,200,256,0.579692,0.130216,0.23327,0.558,2.485,1.0,0.168062,0.133242,4.351,0.977,3,0.130216,hst,3.449,4.452,0.775,4.452,1.0,3.582443742956908e-16,mix,199,4.095,9764,hst,1,1.279,native,0,0.0,0.75
